"","geoid","place","state","households","household_2010","household_2020","median_income","median_inc_2010","median_inc_2020"
"159","2425000","Edgemont CDP"," Maryland","number_households",75,99,"median_income",45216,80125
"160","2425050","Edgewater CDP"," Maryland","number_households",3437,3643,"median_income",81300,89327
"161","2425150","Edgewood CDP"," Maryland","number_households",9126,9047,"median_income",57369,68420
"162","2425425","Edmonston town"," Maryland","number_households",444,386,"median_income",55417,71667
"163","2425575","Eldersburg CDP"," Maryland","number_households",10621,10661,"median_income",97605,125981
"164","2425600","Eldorado town"," Maryland","number_households",30,30,"median_income",67000,53214
"165","2425750","Elkridge CDP"," Maryland","number_households",5002,7977,"median_income",76111,108627
"166","2425800","Elkton town"," Maryland","number_households",5061,5601,"median_income",54902,54871
"167","2425925","Ellerslie CDP"," Maryland","number_households",148,254,"median_income",38500,56667
"168","2426000","Ellicott City CDP"," Maryland","number_households",23335,26364,"median_income",109888,132083
"169","2426025","Elliott CDP"," Maryland","number_households",22,22,"median_income",95208,NA
"170","2426200","Emmitsburg town"," Maryland","number_households",1010,1157,"median_income",53125,72887
"171","2426550","Ernstville CDP"," Maryland","number_households",0,12,"median_income",NA,NA
"172","2426600","Essex CDP"," Maryland","number_households",15149,14863,"median_income",49448,59426
"173","2427250","Fairland CDP"," Maryland","number_households",8755,8741,"median_income",66212,84087
"174","2427325","Fairlee CDP"," Maryland","number_households",115,192,"median_income",63807,NA
"175","2427375","Fairmount CDP"," Maryland","number_households",170,171,"median_income",53026,70134
"176","2427400","Fairmount Heights town"," Maryland","number_households",496,471,"median_income",62763,69519
"177","2427425","Fairplay CDP"," Maryland","number_households",149,189,"median_income",102019,99148
"178","2427500","Fairview CDP"," Maryland","number_households",0,8,"median_income",NA,NA
"179","2427580","Fairwood CDP"," Maryland","number_households",1310,2194,"median_income",163786,171071
"180","2427700","Fallston CDP"," Maryland","number_households",2903,3146,"median_income",98750,130625
"181","2427900","Federalsburg town"," Maryland","number_households",1105,1005,"median_income",39776,31915
"182","2428075","Ferndale CDP"," Maryland","number_households",6539,6361,"median_income",66390,74226
"183","2428275","Finzel CDP"," Maryland","number_households",206,305,"median_income",65514,77375
"184","2428300","Fishing Creek CDP"," Maryland","number_households",53,104,"median_income",108508,47955
"185","2428425","Flintstone CDP"," Maryland","number_households",68,65,"median_income",29063,NA
"186","2428640","Forest Glen CDP"," Maryland","number_households",2708,2284,"median_income",75455,98904
"187","2428725","Forest Heights town"," Maryland","number_households",799,744,"median_income",73599,96111
"188","2429000","Forestville CDP"," Maryland","number_households",4546,4160,"median_income",63705,64082
"189","2429400","Fort Meade CDP"," Maryland","number_households",2958,2905,"median_income",58532,80438
"190","2429450","Fort Ritchie CDP"," Maryland","number_households",64,19,"median_income",20909,NA
"191","2429525","Fort Washington CDP"," Maryland","number_households",8395,8105,"median_income",106917,122206
"192","2429712","Fountainhead-Orchard Hills CDP"," Maryland","number_households",2359,2359,"median_income",61530,75160
"193","2429790","Four Corners CDP"," Maryland","number_households",2832,2771,"median_income",105660,160847
"194","2430100","Franklin CDP"," Maryland","number_households",35,70,"median_income",26250,11651
"195","2430325","Frederick city"," Maryland","number_households",25213,28754,"median_income",66570,78400
"196","2430567","Frenchtown-Rumbly CDP"," Maryland","number_households",25,8,"median_income",92375,NA
"197","2430575","Friendly CDP"," Maryland","number_households",3034,3277,"median_income",91066,128083
"198","2430650","Friendship CDP"," Maryland","number_households",112,117,"median_income",133889,97721
"199","2430800","Friendship Heights Village CDP"," Maryland","number_households",3804,2804,"median_income",76804,106771
"200","2430850","Friendsville town"," Maryland","number_households",231,212,"median_income",32679,38026
"201","2430900","Frostburg city"," Maryland","number_households",3277,2990,"median_income",32314,40781
"202","2430950","Fruitland city"," Maryland","number_households",1887,1891,"median_income",55396,52392
"203","2431025","Fulton CDP"," Maryland","number_households",654,1410,"median_income",170735,170357
"204","2431100","Funkstown town"," Maryland","number_households",564,504,"median_income",39063,38235
"205","2431175","Gaithersburg city"," Maryland","number_households",22832,24713,"median_income",78736,91845
"206","2431225","Galena town"," Maryland","number_households",224,343,"median_income",66288,66563
"207","2431250","Galestown town"," Maryland","number_households",33,31,"median_income",35417,33906
"208","2431275","Galesville CDP"," Maryland","number_households",244,430,"median_income",73958,167723
"209","2431350","Gambrills CDP"," Maryland","number_households",948,976,"median_income",110476,140238
"210","2431400","Gapland CDP"," Maryland","number_households",47,28,"median_income",60417,NA
"211","2431525","Garrett Park town"," Maryland","number_households",357,330,"median_income",116806,221250
"212","2431575","Garretts Mill CDP"," Maryland","number_households",75,162,"median_income",65083,NA
"213","2431625","Garrison CDP"," Maryland","number_households",3521,3440,"median_income",70022,85405
"214","2431875","Georgetown CDP"," Maryland","number_households",85,6,"median_income",65250,NA
"215","2432025","Germantown CDP"," Maryland","number_households",30541,30270,"median_income",85396,98829
"216","2432175","Gilmore CDP"," Maryland","number_households",32,64,"median_income",38095,91842
"217","2432250","Girdletree CDP"," Maryland","number_households",135,60,"median_income",27813,129167
"218","2432350","Glassmanor CDP"," Maryland","number_households",6553,6495,"median_income",52648,61153
"219","2432500","Glenarden city"," Maryland","number_households",2069,2250,"median_income",47943,87917
"220","2432650","Glen Burnie CDP"," Maryland","number_households",26215,27595,"median_income",59453,74932
"221","2432900","Glen Echo town"," Maryland","number_households",107,109,"median_income",140625,141250
"222","2433250","Glenmont CDP"," Maryland","number_households",4444,4726,"median_income",84805,100365
"223","2433400","Glenn Dale CDP"," Maryland","number_households",4410,4146,"median_income",101979,113576
"224","2433850","Golden Beach CDP"," Maryland","number_households",1377,1348,"median_income",80859,83438
"225","2433950","Goldsboro town"," Maryland","number_households",96,71,"median_income",49167,46875
"226","2434150","Gorman CDP"," Maryland","number_households",27,82,"median_income",27750,NA
"227","2434425","Grahamtown CDP"," Maryland","number_households",126,113,"median_income",61364,47629
"228","2434525","Grantsville town"," Maryland","number_households",347,349,"median_income",43125,32607
"229","2434550","Grasonville CDP"," Maryland","number_households",1208,1237,"median_income",73750,99550
"230","2434775","Greenbelt city"," Maryland","number_households",9600,9791,"median_income",61143,71744
"231","2435200","Greensboro town"," Maryland","number_households",830,883,"median_income",59821,39821
"232","2435225","Greensburg CDP"," Maryland","number_households",54,69,"median_income",116364,57969
"233","2436075","Hagerstown city"," Maryland","number_households",16720,16669,"median_income",36952,41905
"234","2436125","Halfway CDP"," Maryland","number_households",4154,4487,"median_income",53960,67764
"235","2436500","Hampstead town"," Maryland","number_households",2409,2590,"median_income",75719,75392
"236","2436512","Hampton CDP"," Maryland","number_households",1868,1643,"median_income",112500,153268
"237","2436600","Hancock town"," Maryland","number_households",641,725,"median_income",31858,43350
"238","2437600","Havre de Grace city"," Maryland","number_households",5408,5811,"median_income",62014,80853
"239","2437875","Hebron town"," Maryland","number_households",338,409,"median_income",56944,52375
"240","2437925","Henderson town"," Maryland","number_households",50,39,"median_income",42031,NA
"241","2438025","Herald Harbor CDP"," Maryland","number_households",919,981,"median_income",82054,140493
"242","2438437","Highfield-Cascade CDP"," Maryland","number_households",416,332,"median_income",75615,68333
"243","2438475","Highland CDP"," Maryland","number_households",279,364,"median_income",118348,2e+05
"244","2438500","Highland Beach town"," Maryland","number_households",28,56,"median_income",116250,138152
"245","2438850","Hillandale CDP"," Maryland","number_households",2087,1450,"median_income",98546,118779
"246","2438975","Hillcrest Heights CDP"," Maryland","number_households",6869,6828,"median_income",56394,66463
"247","2439175","Hillsboro town"," Maryland","number_households",32,47,"median_income",89500,61250
"248","2440700","Hughesville CDP"," Maryland","number_households",581,912,"median_income",145859,123348
"249","2441037","Huntingtown CDP"," Maryland","number_households",918,NA,"median_income",131786,NA
"250","2441125","Hurlock town"," Maryland","number_households",747,877,"median_income",42039,58750
"251","2441175","Hutton CDP"," Maryland","number_households",10,28,"median_income",NA,NA
"252","2441250","Hyattsville city"," Maryland","number_households",5980,6816,"median_income",54839,80618
"253","2441475","Ilchester CDP"," Maryland","number_households",8189,9302,"median_income",111374,123438
"254","2441500","Indian Head town"," Maryland","number_households",1316,1596,"median_income",69079,64180
"255","2441700","Indian Springs CDP"," Maryland","number_households",47,9,"median_income",75868,NA
"256","2442325","Jarrettsville CDP"," Maryland","number_households",1064,988,"median_income",93167,117833
"257","2442350","Jefferson CDP"," Maryland","number_households",794,901,"median_income",91875,116042
"258","2442450","Jennings CDP"," Maryland","number_households",69,60,"median_income",69063,NA
"259","2442550","Jessup CDP"," Maryland","number_households",420,1558,"median_income",47212,118603
"260","2442575","Jesterville CDP"," Maryland","number_households",91,74,"median_income",84770,80875
"261","2442875","Joppatowne CDP"," Maryland","number_households",4889,5066,"median_income",74446,89909
"262","2442950","Jugtown CDP"," Maryland","number_households",80,49,"median_income",82115,164063
"263","2443100","Keedysville town"," Maryland","number_households",332,370,"median_income",103929,116500
"264","2443200","Kemp Mill CDP"," Maryland","number_households",4384,4784,"median_income",89294,126447
"265","2443280","Kemps Mill CDP"," Maryland","number_households",32,0,"median_income",51786,NA
"266","2443475","Kennedyville CDP"," Maryland","number_households",88,146,"median_income",29657,NA
"267","2443500","Kensington town"," Maryland","number_households",767,823,"median_income",88558,126162
"268","2443725","Kent Narrows CDP"," Maryland","number_households",338,289,"median_income",89861,100417
"269","2443900","Kettering CDP"," Maryland","number_households",4802,5624,"median_income",93299,100428
"270","2444325","Kingstown CDP"," Maryland","number_households",706,905,"median_income",82875,52798
"271","2444350","Kingsville CDP"," Maryland","number_households",1572,1652,"median_income",81920,104265
"272","2444450","Kitzmiller town"," Maryland","number_households",137,104,"median_income",31250,40000
"273","2444525","Klondike CDP"," Maryland","number_households",60,49,"median_income",70403,73490
"274","2444715","Konterra CDP"," Maryland","number_households",917,1110,"median_income",107386,101667
"275","2444817","Lake Arbor CDP"," Maryland","number_households",4011,5506,"median_income",87436,108750
"276","2444975","Lake Shore CDP"," Maryland","number_households",6955,6731,"median_income",90396,111940
"277","2445325","Landover CDP"," Maryland","number_households",8169,8056,"median_income",53872,59015
"278","2445400","Landover Hills town"," Maryland","number_households",526,553,"median_income",62054,73750
"279","2445525","Langley Park CDP"," Maryland","number_households",4888,4732,"median_income",50759,63789
"280","2445550","Lanham CDP"," Maryland","number_households",2944,2937,"median_income",88026,88054
"281","2445650","Lansdowne CDP"," Maryland","number_households",3207,3360,"median_income",40274,43556
"282","2445750","La Plata town"," Maryland","number_households",2924,3298,"median_income",80129,94755
"283","2445825","Largo CDP"," Maryland","number_households",4434,4232,"median_income",75717,90236
"284","2445900","Laurel city"," Maryland","number_households",9909,9647,"median_income",63271,80255
"285","2446075","La Vale CDP"," Maryland","number_households",1525,1955,"median_income",54632,73872
"286","2446150","Layhill CDP"," Maryland","number_households",1790,1579,"median_income",114634,93523
"287","2446250","Laytonsville town"," Maryland","number_households",113,158,"median_income",107159,162500
"288","2446375","Leisure World CDP"," Maryland","number_households",5524,6215,"median_income",52086,54789
"289","2446400","Leitersburg CDP"," Maryland","number_households",247,224,"median_income",50039,NA
"290","2446475","Leonardtown town"," Maryland","number_households",975,1241,"median_income",57083,119250
"291","2446725","Lexington Park CDP"," Maryland","number_households",4288,5501,"median_income",64173,72920
"292","2446800","Libertytown CDP"," Maryland","number_households",321,305,"median_income",85563,86719
"293","2447040","Linganore CDP"," Maryland","number_households",2741,3504,"median_income",104774,146500
"294","2447125","Linthicum CDP"," Maryland","number_households",3906,3856,"median_income",76791,93237
"295","2447275","Little Orleans CDP"," Maryland","number_households",16,41,"median_income",19722,NA
"296","2447450","Lochearn CDP"," Maryland","number_households",10138,9900,"median_income",53552,64986
"297","2447525","Loch Lynn Heights town"," Maryland","number_households",271,187,"median_income",25234,49453
"298","2447875","Lonaconing town"," Maryland","number_households",524,427,"median_income",31100,47824
"299","2448025","Long Beach CDP"," Maryland","number_households",671,747,"median_income",112634,119078
"300","2448775","Luke town"," Maryland","number_households",36,35,"median_income",17500,39028
"301","2448800","Lusby CDP"," Maryland","number_households",730,930,"median_income",72372,82756
"302","2448875","Lutherville CDP"," Maryland","number_households",2627,2461,"median_income",77219,118227
"303","2449325","McCoole CDP"," Maryland","number_households",150,208,"median_income",63214,41029
"304","2449700","Madison CDP"," Maryland","number_households",74,72,"median_income",80625,91842
"305","2449950","Manchester town"," Maryland","number_households",1542,1737,"median_income",83200,91723
"306","2450375","Mapleville CDP"," Maryland","number_households",52,111,"median_income",145469,65644
"307","2450525","Mardela Springs town"," Maryland","number_households",128,159,"median_income",49318,83350
"308","2450680","Marlboro Meadows CDP"," Maryland","number_households",1189,1383,"median_income",99171,86017
"309","2450685","Marlboro Village CDP"," Maryland","number_households",3613,3366,"median_income",81951,103043
"310","2450750","Marlow Heights CDP"," Maryland","number_households",2492,2300,"median_income",58250,69688
"311","2450775","Marlton CDP"," Maryland","number_households",3178,3516,"median_income",99732,111868
"312","2450965","Martin's Additions village"," Maryland","number_households",313,342,"median_income",173542,250001
"313","2451025","Marydel town"," Maryland","number_households",58,60,"median_income",56071,41250
"314","2451075","Maryland City CDP"," Maryland","number_households",6256,6873,"median_income",82112,98811
"315","2451425","Maugansville CDP"," Maryland","number_households",1116,946,"median_income",49333,52143
"316","2451575","Mayo CDP"," Maryland","number_households",3076,2958,"median_income",86318,123440
"317","2451587","Mays Chapel CDP"," Maryland","number_households",4873,4734,"median_income",95733,110403
"318","2451800","Mechanicsville CDP"," Maryland","number_households",551,628,"median_income",83125,99041
"319","2451860","Melwood CDP"," Maryland","number_households",1278,NA,"median_income",73810,NA
"320","2451945","Mercersville CDP"," Maryland","number_households",41,113,"median_income",24338,44016
"321","2452225","Middleburg CDP"," Maryland","number_households",46,0,"median_income",86053,NA
"322","2452300","Middle River CDP"," Maryland","number_households",9390,11125,"median_income",51573,65947
"323","2452425","Middletown town"," Maryland","number_households",1375,1568,"median_income",108135,142903
"324","2452475","Midland town"," Maryland","number_households",148,255,"median_income",36538,49250
"325","2452525","Midlothian CDP"," Maryland","number_households",119,191,"median_income",48199,NA
"326","2452562","Milford Mill CDP"," Maryland","number_households",11285,11512,"median_income",57188,65229
"327","2452825","Millington town"," Maryland","number_households",167,215,"median_income",50795,59792
"328","2452975","Mitchellville CDP"," Maryland","number_households",3844,3813,"median_income",109098,129975
"329","2453100","Monrovia CDP"," Maryland","number_households",144,442,"median_income",89091,151786
"330","2453325","Montgomery Village CDP"," Maryland","number_households",11837,11850,"median_income",81912,82135
"331","2453625","Morningside town"," Maryland","number_households",477,420,"median_income",68750,62857
"332","2453700","Moscow CDP"," Maryland","number_households",66,149,"median_income",46250,43606
"333","2453750","Mount Aetna CDP"," Maryland","number_households",209,193,"median_income",127774,136625
