LocationType,Location,TimeFrame,DataFormat,Statistics
County,Cecil,2008,Number,2595
County,Cecil,2008,Percent,0.108
County,Cecil,2009,Number,3093
County,Cecil,2009,Percent,0.126
County,Cecil,2010,Number,3627
County,Cecil,2010,Percent,0.146
County,Cecil,2011,Number,3665
County,Cecil,2011,Percent,0.15
County,Cecil,2012,Number,3897
County,Cecil,2012,Percent,0.162
County,Cecil,2013,Number,3504
County,Cecil,2013,Percent,0.147
County,Cecil,2014,Number,3520
County,Cecil,2014,Percent,0.148
County,Cecil,2015,Number,3450
County,Cecil,2015,Percent,0.148
County,Cecil,2016,Number,3459
County,Cecil,2016,Percent,0.149
County,Cecil,2017,Number,3057
County,Cecil,2017,Percent,0.132
County,Cecil,2018,Number,2914
County,Cecil,2018,Percent,0.128
County,Cecil,2019,Number,3070
County,Cecil,2019,Percent,0.136
County,Cecil,2020,Number,2791
County,Cecil,2020,Percent,0.124
County,Charles,2003,Number,3588
County,Charles,2003,Percent,0.098
County,Charles,2004,Number,3379
County,Charles,2004,Percent,0.089
County,Charles,2005,Number,2798
County,Charles,2005,Percent,0.075
County,Charles,2006,Number,2743
County,Charles,2006,Percent,0.076
County,Charles,2007,Number,2789
County,Charles,2007,Percent,0.075
County,Charles,2008,Number,2993
County,Charles,2008,Percent,0.082
County,Charles,2009,Number,3223
County,Charles,2009,Percent,0.086
County,Charles,2010,Number,3258
County,Charles,2010,Percent,0.085
County,Charles,2011,Number,4065
County,Charles,2011,Percent,0.107
County,Charles,2012,Number,4421
County,Charles,2012,Percent,0.118
County,Charles,2013,Number,4104
County,Charles,2013,Percent,0.108
County,Charles,2014,Number,3906
County,Charles,2014,Percent,0.103
County,Charles,2015,Number,3937
County,Charles,2015,Percent,0.104
County,Charles,2016,Number,3816
County,Charles,2016,Percent,0.101
County,Charles,2017,Number,3731
County,Charles,2017,Percent,0.098
County,Charles,2018,Number,3559
County,Charles,2018,Percent,0.093
County,Charles,2019,Number,3514
County,Charles,2019,Percent,0.092
County,Charles,2020,Number,3578
County,Charles,2020,Percent,0.093
County,Dorchester,2003,Number,1432
County,Dorchester,2003,Percent,0.211
County,Dorchester,2004,Number,1318
County,Dorchester,2004,Percent,0.19
County,Dorchester,2005,Number,1497
County,Dorchester,2005,Percent,0.221
County,Dorchester,2006,Number,1413
County,Dorchester,2006,Percent,0.213
County,Dorchester,2007,Number,1314
County,Dorchester,2007,Percent,0.195
County,Dorchester,2008,Number,1469
County,Dorchester,2008,Percent,0.221
County,Dorchester,2009,Number,1683
County,Dorchester,2009,Percent,0.252
County,Dorchester,2010,Number,1784
County,Dorchester,2010,Percent,0.258
County,Dorchester,2011,Number,2060
County,Dorchester,2011,Percent,0.299
County,Dorchester,2012,Number,2141
County,Dorchester,2012,Percent,0.314
County,Dorchester,2013,Number,1942
County,Dorchester,2013,Percent,0.288
County,Dorchester,2014,Number,2002
County,Dorchester,2014,Percent,0.294
County,Dorchester,2015,Number,2006
County,Dorchester,2015,Percent,0.298
County,Dorchester,2016,Number,1956
County,Dorchester,2016,Percent,0.291
County,Dorchester,2017,Number,1794
County,Dorchester,2017,Percent,0.269
County,Dorchester,2018,Number,1779
County,Dorchester,2018,Percent,0.27
County,Dorchester,2019,Number,1581
County,Dorchester,2019,Percent,0.242
County,Dorchester,2020,Number,1530
County,Dorchester,2020,Percent,0.238
County,Frederick,2003,Number,3789
County,Frederick,2003,Percent,0.066
County,Frederick,2004,Number,3790
County,Frederick,2004,Percent,0.065
County,Frederick,2005,Number,3236
County,Frederick,2005,Percent,0.057
County,Frederick,2006,Number,2992
County,Frederick,2006,Percent,0.054
County,Frederick,2007,Number,3660
County,Frederick,2007,Percent,0.064
County,Frederick,2008,Number,3692
County,Frederick,2008,Percent,0.065
County,Frederick,2009,Number,4040
County,Frederick,2009,Percent,0.07
County,Frederick,2010,Number,4493
County,Frederick,2010,Percent,0.077
County,Frederick,2011,Number,5091
County,Frederick,2011,Percent,0.088
County,Frederick,2012,Number,5219
County,Frederick,2012,Percent,0.09
County,Frederick,2013,Number,4983
County,Frederick,2013,Percent,0.086
County,Frederick,2014,Number,4789
County,Frederick,2014,Percent,0.083
County,Frederick,2015,Number,5196
County,Frederick,2015,Percent,0.09
County,Frederick,2016,Number,4283
County,Frederick,2016,Percent,0.074
County,Frederick,2017,Number,4422
County,Frederick,2017,Percent,0.076
County,Frederick,2018,Number,4320
County,Frederick,2018,Percent,0.074
County,Frederick,2019,Number,3920
County,Frederick,2019,Percent,0.066
County,Frederick,2020,Number,4329
County,Frederick,2020,Percent,0.072
County,Garrett,2003,Number,1270
County,Garrett,2003,Percent,0.188
County,Garrett,2004,Number,1164
County,Garrett,2004,Percent,0.169
County,Garrett,2005,Number,1349
County,Garrett,2005,Percent,0.2
County,Garrett,2006,Number,1087
County,Garrett,2006,Percent,0.169
County,Garrett,2007,Number,1206
County,Garrett,2007,Percent,0.189
County,Garrett,2008,Number,1309
County,Garrett,2008,Percent,0.209
County,Garrett,2009,Number,1154
County,Garrett,2009,Percent,0.185
County,Garrett,2010,Number,1572
County,Garrett,2010,Percent,0.244
County,Garrett,2011,Number,1330
County,Garrett,2011,Percent,0.211
County,Garrett,2012,Number,1310
County,Garrett,2012,Percent,0.214
County,Garrett,2013,Number,1406
County,Garrett,2013,Percent,0.239
County,Garrett,2014,Number,1124
County,Garrett,2014,Percent,0.197
County,Garrett,2015,Number,1071
County,Garrett,2015,Percent,0.193
County,Garrett,2016,Number,1049
County,Garrett,2016,Percent,0.193
County,Garrett,2017,Number,1002
County,Garrett,2017,Percent,0.187
County,Garrett,2018,Number,969
County,Garrett,2018,Percent,0.184
County,Garrett,2019,Number,911
County,Garrett,2019,Percent,0.177
County,Garrett,2020,Number,838
County,Garrett,2020,Percent,0.167
County,Harford,2003,Number,5018
County,Harford,2003,Percent,0.081
County,Harford,2004,Number,4881
County,Harford,2004,Percent,0.078
County,Harford,2005,Number,4701
County,Harford,2005,Percent,0.077
County,Harford,2006,Number,3943
County,Harford,2006,Percent,0.066
County,Harford,2007,Number,4230
County,Harford,2007,Percent,0.071
County,Harford,2008,Number,4291
County,Harford,2008,Percent,0.073
County,Harford,2009,Number,4634
County,Harford,2009,Percent,0.078
County,Harford,2010,Number,5533
County,Harford,2010,Percent,0.093
County,Harford,2011,Number,7182
County,Harford,2011,Percent,0.123
County,Harford,2012,Number,6168
County,Harford,2012,Percent,0.106
County,Harford,2013,Number,5508
County,Harford,2013,Percent,0.096
County,Harford,2014,Number,5596
County,Harford,2014,Percent,0.098
County,Harford,2015,Number,5795
County,Harford,2015,Percent,0.103
County,Harford,2016,Number,4752
County,Harford,2016,Percent,0.085
County,Harford,2017,Number,4766
County,Harford,2017,Percent,0.085
County,Harford,2018,Number,5404
County,Harford,2018,Percent,0.097
County,Harford,2019,Number,4928
County,Harford,2019,Percent,0.088
County,Harford,2020,Number,4023
County,Harford,2020,Percent,0.072
County,Howard,2003,Number,3808
County,Howard,2003,Percent,0.053
County,Howard,2004,Number,3833
County,Howard,2004,Percent,0.053
County,Howard,2005,Number,2996
County,Howard,2005,Percent,0.042
County,Howard,2006,Number,3160
County,Howard,2006,Percent,0.045
County,Howard,2007,Number,3280
County,Howard,2007,Percent,0.047
County,Howard,2008,Number,3369
County,Howard,2008,Percent,0.049
County,Howard,2009,Number,4067
County,Howard,2009,Percent,0.056
County,Howard,2010,Number,4457
County,Howard,2010,Percent,0.06
County,Howard,2011,Number,5543
County,Howard,2011,Percent,0.075
County,Howard,2012,Number,5099
County,Howard,2012,Percent,0.069
County,Howard,2013,Number,5021
County,Howard,2013,Percent,0.067
County,Howard,2014,Number,5373
County,Howard,2014,Percent,0.071
County,Howard,2015,Number,4911
County,Howard,2015,Percent,0.065
County,Howard,2016,Number,4908
County,Howard,2016,Percent,0.063
County,Howard,2017,Number,5049
County,Howard,2017,Percent,0.064
County,Howard,2018,Number,4871
County,Howard,2018,Percent,0.062
County,Howard,2019,Number,4352
County,Howard,2019,Percent,0.056
County,Howard,2020,Number,4502
County,Howard,2020,Percent,0.058
County,Kent,2003,Number,575
County,Kent,2003,Percent,0.157
County,Kent,2004,Number,550
County,Kent,2004,Percent,0.15
County,Kent,2005,Number,600
County,Kent,2005,Percent,0.167
County,Kent,2006,Number,561
County,Kent,2006,Percent,0.158
County,Kent,2007,Number,568
County,Kent,2007,Percent,0.156
County,Kent,2008,Number,604
County,Kent,2008,Percent,0.165
County,Kent,2009,Number,691
County,Kent,2009,Percent,0.194
County,Kent,2010,Number,705
County,Kent,2010,Percent,0.204
County,Kent,2011,Number,755
County,Kent,2011,Percent,0.22
County,Kent,2012,Number,741
County,Kent,2012,Percent,0.219
County,Kent,2013,Number,716
County,Kent,2013,Percent,0.219
County,Kent,2014,Number,689
County,Kent,2014,Percent,0.21
County,Kent,2015,Number,695
County,Kent,2015,Percent,0.216
County,Kent,2016,Number,628
County,Kent,2016,Percent,0.199
County,Kent,2017,Number,616
County,Kent,2017,Percent,0.204
County,Kent,2018,Number,574
County,Kent,2018,Percent,0.192
County,Kent,2019,Number,531
County,Kent,2019,Percent,0.182
County,Kent,2020,Number,490
County,Kent,2020,Percent,0.172
County,Montgomery,2003,Number,19275
County,Montgomery,2003,Percent,0.083
County,Montgomery,2004,Number,18853
County,Montgomery,2004,Percent,0.08
County,Montgomery,2005,Number,13145
County,Montgomery,2005,Percent,0.057
County,Montgomery,2006,Number,12585
County,Montgomery,2006,Percent,0.055
County,Montgomery,2007,Number,13253
County,Montgomery,2007,Percent,0.059
County,Montgomery,2008,Number,16589
County,Montgomery,2008,Percent,0.073
County,Montgomery,2009,Number,19496
County,Montgomery,2009,Percent,0.083
County,Montgomery,2010,Number,21615
County,Montgomery,2010,Percent,0.094
County,Montgomery,2011,Number,20330
County,Montgomery,2011,Percent,0.088
County,Montgomery,2012,Number,19425
County,Montgomery,2012,Percent,0.083
County,Montgomery,2013,Number,23094
County,Montgomery,2013,Percent,0.097
County,Montgomery,2014,Number,21427
County,Montgomery,2014,Percent,0.089
County,Montgomery,2015,Number,25167
County,Montgomery,2015,Percent,0.105
County,Montgomery,2016,Number,21777
County,Montgomery,2016,Percent,0.09
County,Montgomery,2017,Number,22623
County,Montgomery,2017,Percent,0.093
County,Montgomery,2018,Number,20168
County,Montgomery,2018,Percent,0.084
County,Montgomery,2019,Number,22065
County,Montgomery,2019,Percent,0.093
County,Montgomery,2020,Number,17976
County,Montgomery,2020,Percent,0.076
County,Prince George's,2003,Number,25124
County,Prince George's,2003,Percent,0.113
County,Prince George's,2004,Number,23641
County,Prince George's,2004,Percent,0.105
County,Prince George's,2005,Number,21446
County,Prince George's,2005,Percent,0.097
County,Prince George's,2006,Number,21000
County,Prince George's,2006,Percent,0.099
County,Prince George's,2007,Number,21410
County,Prince George's,2007,Percent,0.105
County,Prince George's,2008,Number,16676
County,Prince George's,2008,Percent,0.084
County,Prince George's,2009,Number,21310
County,Prince George's,2009,Percent,0.105
County,Prince George's,2010,Number,24700
County,Prince George's,2010,Percent,0.123
County,Prince George's,2011,Number,24886
County,Prince George's,2011,Percent,0.124
County,Prince George's,2012,Number,29845
County,Prince George's,2012,Percent,0.15
County,Prince George's,2013,Number,27958
County,Prince George's,2013,Percent,0.141
County,Prince George's,2014,Number,29365
County,Prince George's,2014,Percent,0.146
County,Prince George's,2015,Number,28371
County,Prince George's,2015,Percent,0.142
County,Prince George's,2016,Number,26082
County,Prince George's,2016,Percent,0.13
County,Prince George's,2017,Number,23522
County,Prince George's,2017,Percent,0.118
County,Prince George's,2018,Number,23778
County,Prince George's,2018,Percent,0.12
County,Prince George's,2019,Number,25414
County,Prince George's,2019,Percent,0.13
County,Prince George's,2020,Number,24950
County,Prince George's,2020,Percent,0.127
County,Queen Anne's,2003,Number,905
County,Queen Anne's,2003,Percent,0.084
County,Queen Anne's,2004,Number,857
County,Queen Anne's,2004,Percent,0.079
County,Queen Anne's,2005,Number,845
County,Queen Anne's,2005,Percent,0.079
County,Queen Anne's,2006,Number,776
County,Queen Anne's,2006,Percent,0.074
County,Queen Anne's,2007,Number,845
County,Queen Anne's,2007,Percent,0.078
County,Queen Anne's,2008,Number,837
County,Queen Anne's,2008,Percent,0.078
County,Queen Anne's,2009,Number,1035
County,Queen Anne's,2009,Percent,0.093
County,Queen Anne's,2010,Number,1135
County,Queen Anne's,2010,Percent,0.101
County,Queen Anne's,2011,Number,1307
County,Queen Anne's,2011,Percent,0.118
County,Queen Anne's,2012,Number,1228
County,Queen Anne's,2012,Percent,0.111
County,Queen Anne's,2013,Number,1179
County,Queen Anne's,2013,Percent,0.108
County,Queen Anne's,2014,Number,1178
County,Queen Anne's,2014,Percent,0.109
County,Queen Anne's,2015,Number,1112
County,Queen Anne's,2015,Percent,0.105
County,Queen Anne's,2016,Number,986
County,Queen Anne's,2016,Percent,0.094
County,Queen Anne's,2017,Number,1011
County,Queen Anne's,2017,Percent,0.095
County,Queen Anne's,2018,Number,923
County,Queen Anne's,2018,Percent,0.086
County,Queen Anne's,2019,Number,783
County,Queen Anne's,2019,Percent,0.074
County,Queen Anne's,2020,Number,841
County,Queen Anne's,2020,Percent,0.079
County,Saint Mary's,2003,Number,2666
County,Saint Mary's,2003,Percent,0.106
County,Saint Mary's,2004,Number,2546
County,Saint Mary's,2004,Percent,0.1
County,Saint Mary's,2005,Number,2619
County,Saint Mary's,2005,Percent,0.105
County,Saint Mary's,2006,Number,2272
County,Saint Mary's,2006,Percent,0.092
County,Saint Mary's,2007,Number,2436
County,Saint Mary's,2007,Percent,0.094
County,Saint Mary's,2008,Number,2591
County,Saint Mary's,2008,Percent,0.1
County,Saint Mary's,2009,Number,2941
County,Saint Mary's,2009,Percent,0.113
County,Saint Mary's,2010,Number,3018
County,Saint Mary's,2010,Percent,0.11
County,Saint Mary's,2011,Number,3362
County,Saint Mary's,2011,Percent,0.123
County,Saint Mary's,2012,Number,3333
County,Saint Mary's,2012,Percent,0.121
County,Saint Mary's,2013,Number,3188
County,Saint Mary's,2013,Percent,0.117
County,Saint Mary's,2014,Number,3362
County,Saint Mary's,2014,Percent,0.124
County,Saint Mary's,2015,Number,3439
County,Saint Mary's,2015,Percent,0.127
County,Saint Mary's,2016,Number,3150
County,Saint Mary's,2016,Percent,0.115
County,Saint Mary's,2017,Number,3136
County,Saint Mary's,2017,Percent,0.114
County,Saint Mary's,2018,Number,2847
County,Saint Mary's,2018,Percent,0.106
County,Saint Mary's,2019,Number,2832
County,Saint Mary's,2019,Percent,0.106
County,Saint Mary's,2020,Number,2470
County,Saint Mary's,2020,Percent,0.092
County,Somerset,2003,Number,1203
County,Somerset,2003,Percent,0.257
County,Somerset,2004,Number,1127
County,Somerset,2004,Percent,0.24
County,Somerset,2005,Number,1228
County,Somerset,2005,Percent,0.266
County,Somerset,2006,Number,1195
County,Somerset,2006,Percent,0.265
County,Somerset,2007,Number,1284
County,Somerset,2007,Percent,0.279
County,Somerset,2008,Number,1272
County,Somerset,2008,Percent,0.279
County,Somerset,2009,Number,1367
County,Somerset,2009,Percent,0.298
County,Somerset,2010,Number,1273
County,Somerset,2010,Percent,0.293
County,Somerset,2011,Number,1388
County,Somerset,2011,Percent,0.321
County,Somerset,2012,Number,1507
County,Somerset,2012,Percent,0.352
County,Somerset,2013,Number,1632
County,Somerset,2013,Percent,0.381
County,Somerset,2014,Number,1377
County,Somerset,2014,Percent,0.326
County,Somerset,2015,Number,1520
County,Somerset,2015,Percent,0.359
County,Somerset,2016,Number,1386
County,Somerset,2016,Percent,0.319
County,Somerset,2017,Number,1420
County,Somerset,2017,Percent,0.326
County,Somerset,2018,Number,1339
County,Somerset,2018,Percent,0.314
County,Somerset,2019,Number,1372
County,Somerset,2019,Percent,0.327
County,Somerset,2020,Number,1108
County,Somerset,2020,Percent,0.266
County,Talbot,2003,Number,857
County,Talbot,2003,Percent,0.12
