"","GEOID","Census_Tract","County","State","year","total","yes_internet","no_internet"
"66","24003730401","Census Tract 7304.01"," Anne Arundel County"," Maryland","2020",2201,1859,280
"67","24003730403","Census Tract 7304.03"," Anne Arundel County"," Maryland","2020",1542,1427,95
"68","24003730404","Census Tract 7304.04"," Anne Arundel County"," Maryland","2020",765,673,92
"69","24003730507","Census Tract 7305.07"," Anne Arundel County"," Maryland","2020",1511,1451,60
"70","24003730508","Census Tract 7305.08"," Anne Arundel County"," Maryland","2020",941,849,62
"71","24003730509","Census Tract 7305.09"," Anne Arundel County"," Maryland","2020",1551,1476,75
"72","24003730510","Census Tract 7305.10"," Anne Arundel County"," Maryland","2020",1161,1093,68
"73","24003730511","Census Tract 7305.11"," Anne Arundel County"," Maryland","2020",754,647,107
"74","24003730512","Census Tract 7305.12"," Anne Arundel County"," Maryland","2020",985,900,74
"75","24003730513","Census Tract 7305.13"," Anne Arundel County"," Maryland","2020",682,649,33
"76","24003730514","Census Tract 7305.14"," Anne Arundel County"," Maryland","2020",1476,1295,163
"77","24003730601","Census Tract 7306.01"," Anne Arundel County"," Maryland","2020",2354,2258,70
"78","24003730603","Census Tract 7306.03"," Anne Arundel County"," Maryland","2020",1027,936,81
"79","24003730605","Census Tract 7306.05"," Anne Arundel County"," Maryland","2020",1090,1018,72
"80","24003730606","Census Tract 7306.06"," Anne Arundel County"," Maryland","2020",1580,1478,58
"81","24003730701","Census Tract 7307.01"," Anne Arundel County"," Maryland","2020",1024,995,29
"82","24003730702","Census Tract 7307.02"," Anne Arundel County"," Maryland","2020",1545,1479,59
"83","24003730800","Census Tract 7308"," Anne Arundel County"," Maryland","2020",874,822,36
"84","24003730901","Census Tract 7309.01"," Anne Arundel County"," Maryland","2020",942,911,0
"85","24003730902","Census Tract 7309.02"," Anne Arundel County"," Maryland","2020",1269,1263,0
"86","24003731002","Census Tract 7310.02"," Anne Arundel County"," Maryland","2020",1359,1320,39
"87","24003731003","Census Tract 7310.03"," Anne Arundel County"," Maryland","2020",1649,1570,79
"88","24003731004","Census Tract 7310.04"," Anne Arundel County"," Maryland","2020",1553,1515,30
"89","24003731103","Census Tract 7311.03"," Anne Arundel County"," Maryland","2020",1913,1894,9
"90","24003731104","Census Tract 7311.04"," Anne Arundel County"," Maryland","2020",1682,1638,34
"91","24003731105","Census Tract 7311.05"," Anne Arundel County"," Maryland","2020",1200,1151,39
"92","24003731106","Census Tract 7311.06"," Anne Arundel County"," Maryland","2020",1705,1573,52
"93","24003731107","Census Tract 7311.07"," Anne Arundel County"," Maryland","2020",1233,1190,43
"94","24003731201","Census Tract 7312.01"," Anne Arundel County"," Maryland","2020",2190,2150,21
"95","24003731205","Census Tract 7312.05"," Anne Arundel County"," Maryland","2020",1731,1539,141
"96","24003731206","Census Tract 7312.06"," Anne Arundel County"," Maryland","2020",1101,1042,48
"97","24003731207","Census Tract 7312.07"," Anne Arundel County"," Maryland","2020",1074,1048,14
"98","24003731208","Census Tract 7312.08"," Anne Arundel County"," Maryland","2020",1396,1259,123
"99","24003731209","Census Tract 7312.09"," Anne Arundel County"," Maryland","2020",2037,1886,140
"100","24003731210","Census Tract 7312.10"," Anne Arundel County"," Maryland","2020",764,639,125
"101","24003731303","Census Tract 7313.03"," Anne Arundel County"," Maryland","2020",2562,2446,116
"102","24003731306","Census Tract 7313.06"," Anne Arundel County"," Maryland","2020",2196,2040,67
"103","24003731307","Census Tract 7313.07"," Anne Arundel County"," Maryland","2020",2206,2008,148
"104","24003731308","Census Tract 7313.08"," Anne Arundel County"," Maryland","2020",1546,1366,172
"105","24003731309","Census Tract 7313.09"," Anne Arundel County"," Maryland","2020",1873,1743,104
"106","24003731310","Census Tract 7313.10"," Anne Arundel County"," Maryland","2020",1923,1828,63
"107","24003731312","Census Tract 7313.12"," Anne Arundel County"," Maryland","2020",1484,1373,111
"108","24003731313","Census Tract 7313.13"," Anne Arundel County"," Maryland","2020",1310,1296,14
"109","24003740103","Census Tract 7401.03"," Anne Arundel County"," Maryland","2020",3212,3115,35
"110","24003740104","Census Tract 7401.04"," Anne Arundel County"," Maryland","2020",3097,3037,22
"111","24003740105","Census Tract 7401.05"," Anne Arundel County"," Maryland","2020",1476,1413,46
"112","24003740106","Census Tract 7401.06"," Anne Arundel County"," Maryland","2020",1027,965,62
"113","24003740107","Census Tract 7401.07"," Anne Arundel County"," Maryland","2020",1395,1395,0
"114","24003740108","Census Tract 7401.08"," Anne Arundel County"," Maryland","2020",2064,2064,0
"115","24003740203","Census Tract 7402.03"," Anne Arundel County"," Maryland","2020",1827,1688,122
"116","24003740204","Census Tract 7402.04"," Anne Arundel County"," Maryland","2020",1650,1591,59
"117","24003740205","Census Tract 7402.05"," Anne Arundel County"," Maryland","2020",1216,1028,146
"118","24003740303","Census Tract 7403.03"," Anne Arundel County"," Maryland","2020",1586,1513,73
"119","24003740304","Census Tract 7403.04"," Anne Arundel County"," Maryland","2020",2976,2424,327
"120","24003740305","Census Tract 7403.05"," Anne Arundel County"," Maryland","2020",4521,4399,48
"121","24003740400","Census Tract 7404"," Anne Arundel County"," Maryland","2020",0,0,0
"122","24003740501","Census Tract 7405.01"," Anne Arundel County"," Maryland","2020",2453,2314,90
"123","24003740502","Census Tract 7405.02"," Anne Arundel County"," Maryland","2020",1953,1940,13
"124","24003740601","Census Tract 7406.01"," Anne Arundel County"," Maryland","2020",1542,1534,0
"125","24003740602","Census Tract 7406.02"," Anne Arundel County"," Maryland","2020",1038,1027,8
"126","24003740603","Census Tract 7406.03"," Anne Arundel County"," Maryland","2020",670,491,26
"127","24003740701","Census Tract 7407.01"," Anne Arundel County"," Maryland","2020",3025,2894,114
"128","24003740703","Census Tract 7407.03"," Anne Arundel County"," Maryland","2020",2016,1985,31
"129","24003740704","Census Tract 7407.04"," Anne Arundel County"," Maryland","2020",2056,2017,39
"130","24003740800","Census Tract 7408"," Anne Arundel County"," Maryland","2020",1682,1516,127
"131","24003740900","Census Tract 7409"," Anne Arundel County"," Maryland","2020",2597,2385,212
"132","24003741000","Census Tract 7410"," Anne Arundel County"," Maryland","2020",860,796,48
"133","24003750101","Census Tract 7501.01"," Anne Arundel County"," Maryland","2020",1474,1196,200
"134","24003750102","Census Tract 7501.02"," Anne Arundel County"," Maryland","2020",956,736,200
"135","24003750201","Census Tract 7502.01"," Anne Arundel County"," Maryland","2020",1105,818,236
"136","24003750204","Census Tract 7502.04"," Anne Arundel County"," Maryland","2020",1706,1570,102
"137","24003750300","Census Tract 7503"," Anne Arundel County"," Maryland","2020",1002,863,69
"138","24003750400","Census Tract 7504"," Anne Arundel County"," Maryland","2020",1556,1387,159
"139","24003750801","Census Tract 7508.01"," Anne Arundel County"," Maryland","2020",2011,1760,205
"140","24003750803","Census Tract 7508.03"," Anne Arundel County"," Maryland","2020",2868,2550,301
"141","24003750804","Census Tract 7508.04"," Anne Arundel County"," Maryland","2020",1482,1229,246
"142","24003750900","Census Tract 7509"," Anne Arundel County"," Maryland","2020",1310,1080,222
"143","24003751000","Census Tract 7510"," Anne Arundel County"," Maryland","2020",1525,1263,147
"144","24003751102","Census Tract 7511.02"," Anne Arundel County"," Maryland","2020",1839,1594,193
"145","24003751103","Census Tract 7511.03"," Anne Arundel County"," Maryland","2020",2175,1920,248
"146","24003751200","Census Tract 7512"," Anne Arundel County"," Maryland","2020",1940,1744,78
"147","24003751400","Census Tract 7514"," Anne Arundel County"," Maryland","2020",1522,1430,85
"148","24003751500","Census Tract 7515"," Anne Arundel County"," Maryland","2020",2467,2185,282
"149","24003751600","Census Tract 7516"," Anne Arundel County"," Maryland","2020",2702,2439,263
"150","24003751700","Census Tract 7517"," Anne Arundel County"," Maryland","2020",918,894,24
"151","24003980000","Census Tract 9800"," Anne Arundel County"," Maryland","2020",0,0,0
"152","24003990000","Census Tract 9900"," Anne Arundel County"," Maryland","2020",0,0,0
"153","24005400100","Census Tract 4001"," Baltimore County"," Maryland","2020",2342,1059,639
"154","24005400200","Census Tract 4002"," Baltimore County"," Maryland","2020",1011,957,44
"155","24005400400","Census Tract 4004"," Baltimore County"," Maryland","2020",2274,1920,131
"156","24005400500","Census Tract 4005"," Baltimore County"," Maryland","2020",924,895,24
"157","24005400600","Census Tract 4006"," Baltimore County"," Maryland","2020",1332,1251,48
"158","24005400701","Census Tract 4007.01"," Baltimore County"," Maryland","2020",1368,1279,51
"159","24005400702","Census Tract 4007.02"," Baltimore County"," Maryland","2020",672,660,8
"160","24005400800","Census Tract 4008"," Baltimore County"," Maryland","2020",967,892,75
"161","24005400900","Census Tract 4009"," Baltimore County"," Maryland","2020",711,546,81
"162","24005401000","Census Tract 4010"," Baltimore County"," Maryland","2020",746,722,19
"163","24005401101","Census Tract 4011.01"," Baltimore County"," Maryland","2020",2124,1728,222
"164","24005401102","Census Tract 4011.02"," Baltimore County"," Maryland","2020",445,336,80
"165","24005401200","Census Tract 4012"," Baltimore County"," Maryland","2020",1154,932,83
"166","24005401301","Census Tract 4013.01"," Baltimore County"," Maryland","2020",1409,1255,90
"167","24005401302","Census Tract 4013.02"," Baltimore County"," Maryland","2020",1479,1294,160
"168","24005401400","Census Tract 4014"," Baltimore County"," Maryland","2020",546,522,24
"169","24005401503","Census Tract 4015.03"," Baltimore County"," Maryland","2020",2662,2489,67
"170","24005401504","Census Tract 4015.04"," Baltimore County"," Maryland","2020",2366,2266,100
"171","24005401505","Census Tract 4015.05"," Baltimore County"," Maryland","2020",1441,1141,282
"172","24005401506","Census Tract 4015.06"," Baltimore County"," Maryland","2020",1731,1595,95
"173","24005401507","Census Tract 4015.07"," Baltimore County"," Maryland","2020",2187,2021,59
"174","24005402201","Census Tract 4022.01"," Baltimore County"," Maryland","2020",1014,937,58
"175","24005402202","Census Tract 4022.02"," Baltimore County"," Maryland","2020",604,596,4
"176","24005402302","Census Tract 4023.02"," Baltimore County"," Maryland","2020",1878,1703,175
"177","24005402303","Census Tract 4023.03"," Baltimore County"," Maryland","2020",2631,2061,570
"178","24005402304","Census Tract 4023.04"," Baltimore County"," Maryland","2020",1256,978,138
"179","24005402305","Census Tract 4023.05"," Baltimore County"," Maryland","2020",931,657,71
"180","24005402306","Census Tract 4023.06"," Baltimore County"," Maryland","2020",1513,1280,170
"181","24005402307","Census Tract 4023.07"," Baltimore County"," Maryland","2020",2300,2091,58
"182","24005402403","Census Tract 4024.03"," Baltimore County"," Maryland","2020",792,506,126
"183","24005402404","Census Tract 4024.04"," Baltimore County"," Maryland","2020",2138,1694,167
"184","24005402405","Census Tract 4024.05"," Baltimore County"," Maryland","2020",1464,1180,168
"185","24005402407","Census Tract 4024.07"," Baltimore County"," Maryland","2020",513,438,46
"186","24005402408","Census Tract 4024.08"," Baltimore County"," Maryland","2020",1006,952,0
"187","24005402409","Census Tract 4024.09"," Baltimore County"," Maryland","2020",1671,1492,52
"188","24005402503","Census Tract 4025.03"," Baltimore County"," Maryland","2020",2245,1901,252
"189","24005402504","Census Tract 4025.04"," Baltimore County"," Maryland","2020",1725,1630,77
"190","24005402505","Census Tract 4025.05"," Baltimore County"," Maryland","2020",1256,1120,83
"191","24005402506","Census Tract 4025.06"," Baltimore County"," Maryland","2020",1669,1560,74
"192","24005402510","Census Tract 4025.10"," Baltimore County"," Maryland","2020",2178,1914,264
"193","24005402511","Census Tract 4025.11"," Baltimore County"," Maryland","2020",2155,2013,142
"194","24005402602","Census Tract 4026.02"," Baltimore County"," Maryland","2020",765,735,19
"195","24005402603","Census Tract 4026.03"," Baltimore County"," Maryland","2020",2394,2237,120
"196","24005402604","Census Tract 4026.04"," Baltimore County"," Maryland","2020",2321,2195,107
"197","24005403100","Census Tract 4031"," Baltimore County"," Maryland","2020",837,707,108
"198","24005403201","Census Tract 4032.01"," Baltimore County"," Maryland","2020",1189,1043,86
"199","24005403202","Census Tract 4032.02"," Baltimore County"," Maryland","2020",771,690,14
"200","24005403300","Census Tract 4033"," Baltimore County"," Maryland","2020",939,736,131
"201","24005403401","Census Tract 4034.01"," Baltimore County"," Maryland","2020",1804,1281,482
"202","24005403402","Census Tract 4034.02"," Baltimore County"," Maryland","2020",2229,1710,364
"203","24005403500","Census Tract 4035"," Baltimore County"," Maryland","2020",1817,1495,260
"204","24005403601","Census Tract 4036.01"," Baltimore County"," Maryland","2020",1757,1654,90
"205","24005403602","Census Tract 4036.02"," Baltimore County"," Maryland","2020",2306,2131,47
"206","24005403702","Census Tract 4037.02"," Baltimore County"," Maryland","2020",1955,1828,114
"207","24005403703","Census Tract 4037.03"," Baltimore County"," Maryland","2020",1251,1000,177
"208","24005403704","Census Tract 4037.04"," Baltimore County"," Maryland","2020",1790,1662,93
"209","24005403801","Census Tract 4038.01"," Baltimore County"," Maryland","2020",530,504,26
"210","24005403802","Census Tract 4038.02"," Baltimore County"," Maryland","2020",956,907,49
"211","24005403803","Census Tract 4038.03"," Baltimore County"," Maryland","2020",1480,1371,106
"212","24005404101","Census Tract 4041.01"," Baltimore County"," Maryland","2020",2807,2799,8
"213","24005404102","Census Tract 4041.02"," Baltimore County"," Maryland","2020",2250,2101,98
"214","24005404201","Census Tract 4042.01"," Baltimore County"," Maryland","2020",2250,2141,109
"215","24005404202","Census Tract 4042.02"," Baltimore County"," Maryland","2020",2751,2163,588
"216","24005404402","Census Tract 4044.02"," Baltimore County"," Maryland","2020",2334,2334,0
"217","24005404403","Census Tract 4044.03"," Baltimore County"," Maryland","2020",1839,1663,166
"218","24005404404","Census Tract 4044.04"," Baltimore County"," Maryland","2020",2346,2125,208
"219","24005404501","Census Tract 4045.01"," Baltimore County"," Maryland","2020",2588,2387,170
"220","24005404502","Census Tract 4045.02"," Baltimore County"," Maryland","2020",1489,1398,85
"221","24005404600","Census Tract 4046"," Baltimore County"," Maryland","2020",979,867,78
"222","24005404800","Census Tract 4048"," Baltimore County"," Maryland","2020",731,655,51
"223","24005404900","Census Tract 4049"," Baltimore County"," Maryland","2020",1761,1510,243
"224","24005405000","Census Tract 4050"," Baltimore County"," Maryland","2020",1582,1423,159
"225","24005406000","Census Tract 4060"," Baltimore County"," Maryland","2020",2036,1977,45
"226","24005407001","Census Tract 4070.01"," Baltimore County"," Maryland","2020",1055,1016,39
"227","24005407002","Census Tract 4070.02"," Baltimore County"," Maryland","2020",1843,1717,126
"228","24005408100","Census Tract 4081"," Baltimore County"," Maryland","2020",2227,2142,45
"229","24005408200","Census Tract 4082"," Baltimore County"," Maryland","2020",702,653,35
"230","24005408302","Census Tract 4083.02"," Baltimore County"," Maryland","2020",1181,1112,50
"231","24005408303","Census Tract 4083.03"," Baltimore County"," Maryland","2020",1111,1111,0
"232","24005408304","Census Tract 4083.04"," Baltimore County"," Maryland","2020",2319,2170,123
"233","24005408400","Census Tract 4084"," Baltimore County"," Maryland","2020",684,549,124
"234","24005408502","Census Tract 4085.02"," Baltimore County"," Maryland","2020",2014,1622,220
"235","24005408503","Census Tract 4085.03"," Baltimore County"," Maryland","2020",1640,1464,161
"236","24005408505","Census Tract 4085.05"," Baltimore County"," Maryland","2020",1436,1368,68
"237","24005408506","Census Tract 4085.06"," Baltimore County"," Maryland","2020",2138,1911,194
"238","24005408507","Census Tract 4085.07"," Baltimore County"," Maryland","2020",2858,2660,131
"239","24005408601","Census Tract 4086.01"," Baltimore County"," Maryland","2020",1492,1442,40
"240","24005408602","Census Tract 4086.02"," Baltimore County"," Maryland","2020",727,659,62
"241","24005408702","Census Tract 4087.02"," Baltimore County"," Maryland","2020",898,787,47
"242","24005408703","Census Tract 4087.03"," Baltimore County"," Maryland","2020",2827,2645,157
"243","24005408704","Census Tract 4087.04"," Baltimore County"," Maryland","2020",1907,1874,33
"244","24005408800","Census Tract 4088"," Baltimore County"," Maryland","2020",918,767,126
"245","24005408900","Census Tract 4089"," Baltimore County"," Maryland","2020",1053,970,83
"246","24005410100","Census Tract 4101"," Baltimore County"," Maryland","2020",2054,1932,122
"247","24005410200","Census Tract 4102"," Baltimore County"," Maryland","2020",1683,1640,30
"248","24005411101","Census Tract 4111.01"," Baltimore County"," Maryland","2020",861,768,93
"249","24005411102","Census Tract 4111.02"," Baltimore County"," Maryland","2020",1196,1080,100
"250","24005411201","Census Tract 4112.01"," Baltimore County"," Maryland","2020",1064,982,76
"251","24005411202","Census Tract 4112.02"," Baltimore County"," Maryland","2020",1464,1233,144
"252","24005411302","Census Tract 4113.02"," Baltimore County"," Maryland","2020",1184,1085,70
"253","24005411303","Census Tract 4113.03"," Baltimore County"," Maryland","2020",2411,2256,130
"254","24005411306","Census Tract 4113.06"," Baltimore County"," Maryland","2020",2031,1946,60
"255","24005411307","Census Tract 4113.07"," Baltimore County"," Maryland","2020",1384,1292,59
"256","24005411308","Census Tract 4113.08"," Baltimore County"," Maryland","2020",1627,1519,108
"257","24005411309","Census Tract 4113.09"," Baltimore County"," Maryland","2020",3145,2724,334
"258","24005411404","Census Tract 4114.04"," Baltimore County"," Maryland","2020",1253,1146,100
"259","24005411406","Census Tract 4114.06"," Baltimore County"," Maryland","2020",1624,1370,254
"260","24005411408","Census Tract 4114.08"," Baltimore County"," Maryland","2020",1486,1396,47
"261","24005411409","Census Tract 4114.09"," Baltimore County"," Maryland","2020",1555,1510,35
"262","24005411410","Census Tract 4114.10"," Baltimore County"," Maryland","2020",1734,1697,28
"263","24005411411","Census Tract 4114.11"," Baltimore County"," Maryland","2020",1130,1028,102
"264","24005411412","Census Tract 4114.12"," Baltimore County"," Maryland","2020",1449,1289,32
"265","24005411413","Census Tract 4114.13"," Baltimore County"," Maryland","2020",3117,1330,607
"266","24005420100","Census Tract 4201"," Baltimore County"," Maryland","2020",1274,1115,133
"267","24005420200","Census Tract 4202"," Baltimore County"," Maryland","2020",1455,1259,178
"268","24005420301","Census Tract 4203.01"," Baltimore County"," Maryland","2020",1022,851,163
"269","24005420302","Census Tract 4203.02"," Baltimore County"," Maryland","2020",899,817,82
"270","24005420303","Census Tract 4203.03"," Baltimore County"," Maryland","2020",484,395,76
"271","24005420401","Census Tract 4204.01"," Baltimore County"," Maryland","2020",1988,1743,237
"272","24005420402","Census Tract 4204.02"," Baltimore County"," Maryland","2020",714,617,80
"273","24005420500","Census Tract 4205"," Baltimore County"," Maryland","2020",1353,1184,134
"274","24005420600","Census Tract 4206"," Baltimore County"," Maryland","2020",1275,1109,144
"275","24005420701","Census Tract 4207.01"," Baltimore County"," Maryland","2020",1204,977,166
"276","24005420702","Census Tract 4207.02"," Baltimore County"," Maryland","2020",747,622,125
"277","24005420800","Census Tract 4208"," Baltimore County"," Maryland","2020",1279,1135,144
"278","24005420900","Census Tract 4209"," Baltimore County"," Maryland","2020",1336,1155,159
"279","24005421000","Census Tract 4210"," Baltimore County"," Maryland","2020",982,590,334
"280","24005421101","Census Tract 4211.01"," Baltimore County"," Maryland","2020",1173,887,258
"281","24005421102","Census Tract 4211.02"," Baltimore County"," Maryland","2020",1046,867,174
"282","24005421200","Census Tract 4212"," Baltimore County"," Maryland","2020",731,607,111
"283","24005430101","Census Tract 4301.01"," Baltimore County"," Maryland","2020",1744,1355,309
"284","24005430104","Census Tract 4301.04"," Baltimore County"," Maryland","2020",1072,717,80
"285","24005430200","Census Tract 4302"," Baltimore County"," Maryland","2020",1217,940,245
"286","24005430300","Census Tract 4303"," Baltimore County"," Maryland","2020",2143,1667,413
"287","24005430400","Census Tract 4304"," Baltimore County"," Maryland","2020",1620,1484,78
"288","24005430600","Census Tract 4306"," Baltimore County"," Maryland","2020",863,781,32
"289","24005430700","Census Tract 4307"," Baltimore County"," Maryland","2020",1958,1755,184
"290","24005430800","Census Tract 4308"," Baltimore County"," Maryland","2020",1468,1196,162
"291","24005430900","Census Tract 4309"," Baltimore County"," Maryland","2020",1672,1247,425
"292","24005440100","Census Tract 4401"," Baltimore County"," Maryland","2020",1607,1359,225
"293","24005440200","Census Tract 4402"," Baltimore County"," Maryland","2020",967,803,164
"294","24005440300","Census Tract 4403"," Baltimore County"," Maryland","2020",925,804,112
"295","24005440400","Census Tract 4404"," Baltimore County"," Maryland","2020",2204,2013,145
"296","24005440500","Census Tract 4405"," Baltimore County"," Maryland","2020",1199,1073,108
"297","24005440600","Census Tract 4406"," Baltimore County"," Maryland","2020",773,749,18
"298","24005440701","Census Tract 4407.01"," Baltimore County"," Maryland","2020",2467,2249,178
"299","24005440702","Census Tract 4407.02"," Baltimore County"," Maryland","2020",2043,1905,69
"300","24005440800","Census Tract 4408"," Baltimore County"," Maryland","2020",1387,1186,126
"301","24005440900","Census Tract 4409"," Baltimore County"," Maryland","2020",1446,1317,129
"302","24005441000","Census Tract 4410"," Baltimore County"," Maryland","2020",1300,1187,113
"303","24005441101","Census Tract 4411.01"," Baltimore County"," Maryland","2020",848,773,65
"304","24005441102","Census Tract 4411.02"," Baltimore County"," Maryland","2020",1917,1603,306
"305","24005450100","Census Tract 4501"," Baltimore County"," Maryland","2020",1365,1114,206
"306","24005450200","Census Tract 4502"," Baltimore County"," Maryland","2020",1218,1011,180
"307","24005450300","Census Tract 4503"," Baltimore County"," Maryland","2020",1249,954,248
"308","24005450400","Census Tract 4504"," Baltimore County"," Maryland","2020",764,687,65
"309","24005450501","Census Tract 4505.01"," Baltimore County"," Maryland","2020",1558,1243,305
"310","24005450503","Census Tract 4505.03"," Baltimore County"," Maryland","2020",2233,1972,261
"311","24005450504","Census Tract 4505.04"," Baltimore County"," Maryland","2020",2511,2089,422
"312","24005450800","Census Tract 4508"," Baltimore County"," Maryland","2020",1580,1212,279
"313","24005450900","Census Tract 4509"," Baltimore County"," Maryland","2020",1529,1391,117
"314","24005451000","Census Tract 4510"," Baltimore County"," Maryland","2020",624,567,51
"315","24005451100","Census Tract 4511"," Baltimore County"," Maryland","2020",702,625,70
"316","24005451200","Census Tract 4512"," Baltimore County"," Maryland","2020",1591,1378,156
"317","24005451300","Census Tract 4513"," Baltimore County"," Maryland","2020",1386,940,285
"318","24005451401","Census Tract 4514.01"," Baltimore County"," Maryland","2020",1296,1123,111
"319","24005451402","Census Tract 4514.02"," Baltimore County"," Maryland","2020",1778,1548,149
