Neighborhood,x2010,x2016,x2020,Census,GEOID
Harford/Echodale,39205,39583,56963,2707.02,24510270702
Harford/Echodale,63521,59964,88750,2707.03,24510270703
Loch Raven,51415,50774,58995,2708.01,24510270801
Loch Raven,46181,49273,55753,2708.02,24510270802
Loch Raven,42234,46696,52272,2708.03,24510270803
Chinquapin Park/Belvedere,41094,48017,59583,2708.04,24510270804
Chinquapin Park/Belvedere,46875,50556,59763,2708.05,24510270805
Northwood,51023,49028,47260,2709.01,24510270901
Northwood,48555,61588,58269,2709.02,24510270902
Northwood,54607,43221,52083,2709.03,24510270903
Greater Govans,33203,38092,35822,2710.01,24510271001
Greater Govans,38500,34103,40281,2710.02,24510271002
North Baltimore/Guilford/Homeland,42994,44667,55859,2711.01,24510271101
North Baltimore/Guilford/Homeland,99300,202813,199531,2711.02,24510271102
North Baltimore/Guilford/Homeland,133548,117258,195353,2712,24510271200
Greater Roland Park/Poplar Hill,111250,118281,155605,2713,24510271300
Greater Roland Park/Poplar Hill,97891,113011,151146,2714,24510271400
Mount Washington/Coldspring,88929,87688,109688,2715.01,24510271501
Greater Roland Park/Poplar Hill,79861,71339,62500,2715.03,24510271503
Southern Park Heights,43265,30253,34832,2716,24510271600
Pimlico/Arlington/Hilltop,29069,42791,36484,2717,24510271700
Pimlico/Arlington/Hilltop,24802,25500,25278,2718.01,24510271801
Pimlico/Arlington/Hilltop,31392,28425,40256,2718.02,24510271802
Glen-Fallstaff,52308,51615,54866,2719,24510271900
Cross-Country/Cheswolde,70942,70284,57543,2720.03,24510272003
Cross-Country/Cheswolde,49567,42361,66148,2720.04,24510272004
Cross-Country/Cheswolde,49757,56174,72500,2720.05,24510272005
Glen-Fallstaff,24859,27201,34019,2720.06,24510272006
Glen-Fallstaff,35903,39891,41728,2720.07,24510272007
Glen-Fallstaff,46576,39940,47610,2801.01,24510280101
Howard Park/West Arlington,33938,43864,43618,2801.02,24510280102
Howard Park/West Arlington,45047,61108,56458,2802,24510280200
Dickeyville/Franklintown,33707,38871,47366,2803.01,24510280301
Forest Park/Walbrook,33864,40212,56004,2803.02,24510280302
Beechfield/Ten Hills/West Hills,44954,52176,47192,2804.01,24510280401
Edmondson Village,52784,40769,41179,2804.02,24510280402
Beechfield/Ten Hills/West Hills,51435,56577,57582,2804.03,24510280403
Allendale/Irvington/S. Hilton,43779,39500,40946,2804.04,24510280404
Oldtown/Middle East,11278,12279,14304,2805,24510280500
