"","workorderid","date","description","address","details","address1"
"30","1287486","1/7/2024","WATER MAIN BREAK","820 WEDGEWOOD RD","yes","820 WEDGEWOOD RD, baltimore"
"31","1287503","1/8/2024","WATER MAIN BREAK","3515 EAST JOPPA RD","yes","3515 EAST JOPPA RD, baltimore"
"32","1287607","1/8/2024","WATER MAIN BREAK","4423 TODD POINT LN","yes","4423 TODD POINT LN, baltimore"
"33","1287661","1/8/2024","WATER MAIN BREAK","321 TUSCANY RD","yes","321 TUSCANY RD, baltimore"
"34","1287890","1/9/2024","WATER MAIN BREAK","2 HEDGEFORD CT","yes","2 HEDGEFORD CT, baltimore"
"35","1287957","1/9/2024","WATER MAIN BREAK","607 REST AVE","yes","607 REST AVE, baltimore"
"36","1288326","1/10/2024","WATER MAIN BREAK","933 ELM RIDGE AVE","yes","933 ELM RIDGE AVE, baltimore"
"37","1288452","1/10/2024","WATER MAIN BREAK","119 NORTH FULTON AVE","yes","119 NORTH FULTON AVE, baltimore"
"38","1288457","1/10/2024","WATER MAIN BREAK","2500 BLK ORLEANS ST","yes","2500 BLK ORLEANS ST, baltimore"
"39","1288459","1/10/2024","WATER MAIN BREAK","6 SPARROW HILL CT","yes","6 SPARROW HILL CT, baltimore"
"40","1288470","1/10/2024","WATER MAIN BREAK","5721 2ND AVE","yes","5721 2ND AVE, baltimore"
"41","1288508","1/10/2024","WATER MAIN BREAK","1217 OAK CROFT DR","yes","1217 OAK CROFT DR, baltimore"
"42","1288518","1/10/2024","WATER MAIN BREAK","4917 LANIER AVE","yes","4917 LANIER AVE, baltimore"
"43","1288533","1/11/2024","WATER MAIN BREAK","1831 HANFORD RD","yes","1831 HANFORD RD, baltimore"
"44","1288568","1/11/2024","WATER MAIN BREAK","2983 FALLS RD","yes","2983 FALLS RD, baltimore"
"45","1288576","1/11/2024","WATER MAIN BREAK","4909 BRIARCLIFT RD","yes","4909 BRIARCLIFT RD, baltimore"
"46","1288609","1/11/2024","WATER MAIN BREAK","16 STRABANE CT","yes","16 STRABANE CT, baltimore"
"47","1288669","1/11/2024","WATER MAIN BREAK","2300 WEST BALTIMORE ST","yes","2300 WEST BALTIMORE ST, baltimore"
"48","1288680","1/11/2024","WATER JOINT LEAK","1031 METFIELD RD","yes","1031 METFIELD RD, baltimore"
"49","1288927","1/12/2024","WATER JOINT LEAK","1008 TIMBER TRAIL RD","yes","1008 TIMBER TRAIL RD, baltimore"
"50","1288969","1/12/2024","WATER JOINT LEAK","2014 HILLENWOOD RD","yes","2014 HILLENWOOD RD, baltimore"
"51","1288973","1/12/2024","WATER MAIN BREAK","1112 MIDDLEBOROUGH RD","yes","1112 MIDDLEBOROUGH RD, baltimore"
"52","1288982","1/12/2024","WATER MAIN BREAK","2017 HILLENWOOD RD","yes","2017 HILLENWOOD RD, baltimore"
"53","1288999","1/13/2024","WATER MAIN BREAK","20 YORKWAY","yes","20 YORKWAY, baltimore"
"54","1289025","1/13/2024","WATER MAIN BREAK","10 FOX KNOLL CT","yes","10 FOX KNOLL CT, baltimore"
"55","1289058","1/14/2024","WATER MAIN BREAK","5115 FREDERICK AVE","yes","5115 FREDERICK AVE, baltimore"
"56","1289064","1/14/2024","WATER MAIN BREAK","103 NORTH PAYSON ST","yes","103 NORTH PAYSON ST, baltimore"
"57","1289083","1/14/2024","WATER MAIN BREAK","417 DEACON BROOK CIR","yes","417 DEACON BROOK CIR, baltimore"
"58","1289089","1/14/2024","WATER MAIN BREAK","2203 KRONE CT","yes","2203 KRONE CT, baltimore"
"59","1289197","1/15/2024","WATER MAIN BREAK","417 DEACON BROOK CIR","yes","417 DEACON BROOK CIR, baltimore"
"60","1289350","1/15/2024","WATER MAIN BREAK","9403 JODALE RD","yes","9403 JODALE RD, baltimore"
"61","1290410","1/17/2024","WATER MAIN BREAK","4106 WINDRIDGE RD","yes","4106 WINDRIDGE RD, baltimore"
"62","1290483","1/17/2024","WATER MAIN BREAK","6103 FALLS RD","yes","6103 FALLS RD, baltimore"
"63","1290493","1/17/2024","WATER MAIN BREAK","1518 WILLIAM ST","yes","1518 WILLIAM ST, baltimore"
"64","1290516","1/17/2024","WATER MAIN BREAK","3804 ECHODALE AVE","yes","3804 ECHODALE AVE, baltimore"
"65","1290519","1/18/2024","WATER MAIN BREAK","2211 WEST LAFAYETTE AVE","yes","2211 WEST LAFAYETTE AVE, baltimore"
"66","1290520","1/18/2024","WATER MAIN BREAK","113 NORTH FULTON AVE","yes","113 NORTH FULTON AVE, baltimore"
"67","1290553","1/18/2024","WATER MAIN BREAK","3695 KENYON AVE","yes","3695 KENYON AVE, baltimore"
"68","1290581","1/18/2024","WATER MAIN BREAK","745 WEATHERBEE RD","yes","745 WEATHERBEE RD, baltimore"
"69","1290586","1/18/2024","WATER MAIN BREAK","330 WEST 24TH ST","yes","330 WEST 24TH ST, baltimore"
"70","1290746","1/18/2024","WATER JOINT LEAK","3681 KENYON AVE","yes","3681 KENYON AVE, baltimore"
"71","1291084","1/19/2024","WATER MAIN BREAK","4131 THE ALAMEDA","yes","4131 THE ALAMEDA, baltimore"
"72","1291085","1/19/2024","WATER MAIN BREAK","3228 TARTARIAN CT","yes","3228 TARTARIAN CT, baltimore"
"73","1291087","1/19/2024","WATER MAIN BREAK","3900 BLK MONDAWMIN AVE","yes","3900 BLK MONDAWMIN AVE, baltimore"
"74","1291218","1/19/2024","WATER MAIN BREAK","4025 STARBROOK RD","yes","4025 STARBROOK RD, baltimore"
"75","1291277","1/19/2024","WATER MAIN BREAK","6309 PIONEER DR","yes","6309 PIONEER DR, baltimore"
"76","1291454","1/19/2024","WATER MAIN BREAK","224 TUNBRIDGE RD","yes","224 TUNBRIDGE RD, baltimore"
"77","1291829","1/20/2024","WATER MAIN BREAK","1324 HAUBERT ST","yes","1324 HAUBERT ST, baltimore"
"78","1291843","1/20/2024","WATER MAIN BREAK","2301 MOSHER ST","yes","2301 MOSHER ST, baltimore"
"79","1291846","1/20/2024","WATER MAIN BREAK","511 THORNFIELD RD","yes","511 THORNFIELD RD, baltimore"
"80","1291856","1/20/2024","WATER MAIN BREAK","1000 PINE HEIGHTS AVE","yes","1000 PINE HEIGHTS AVE, baltimore"
"81","1291857","1/20/2024","WATER MAIN BREAK","1319 SOUTHVIEW RD","yes","1319 SOUTHVIEW RD, baltimore"
"82","1291861","1/20/2024","WATER MAIN BREAK","1103 CAWDOR CT","yes","1103 CAWDOR CT, baltimore"
"83","1291862","1/20/2024","WATER MAIN BREAK","3 LOVEBIRD CT","yes","3 LOVEBIRD CT, baltimore"
"84","1291864","1/20/2024","WATER MAIN BREAK","320 PRESWAY RD","yes","320 PRESWAY RD, baltimore"
"85","1291868","1/20/2024","WATER MAIN BREAK","909 BEAVERBANK CIR","yes","909 BEAVERBANK CIR, baltimore"
"86","1291879","1/20/2024","WATER MAIN BREAK","9111 KILBRIDE RD","yes","9111 KILBRIDE RD, baltimore"
"87","1291882","1/20/2024","WATER MAIN BREAK","939 NORTH CENTRAL AVE","yes","939 NORTH CENTRAL AVE, baltimore"
"88","1291884","1/20/2024","WATER MAIN BREAK","500 HOLTZMAN CT","yes","500 HOLTZMAN CT, baltimore"
"89","1291889","1/20/2024","WATER MAIN BREAK","2605 BRENDAN AVE","yes","2605 BRENDAN AVE, baltimore"
"90","1291896","1/21/2024","WATER MAIN BREAK","4509 FULLERTON AVE","yes","4509 FULLERTON AVE, baltimore"
"91","1291900","1/21/2024","WATER MAIN BREAK","24 LOCUST DR","yes","24 LOCUST DR, baltimore"
"92","1291902","1/21/2024","WATER MAIN BREAK","24 LOCUST DR","yes","24 LOCUST DR, baltimore"
"93","1291907","1/21/2024","WATER MAIN BREAK","205 PURLINGTON RD","yes","205 PURLINGTON RD, baltimore"
"94","1291909","1/21/2024","WATER MAIN BREAK","6000 STUART AVE","yes","6000 STUART AVE, baltimore"
"95","1291914","1/21/2024","WATER MAIN BREAK","2300 MOSHER ST","yes","2300 MOSHER ST, baltimore"
"96","1291924","1/21/2024","WATER MAIN BREAK","1328 WEST LANVALE ST","yes","1328 WEST LANVALE ST, baltimore"
"97","1291930","1/21/2024","WATER MAIN BREAK","800 NORTH MONROE ST","yes","800 NORTH MONROE ST, baltimore"
"98","1291937","1/21/2024","WATER MAIN BREAK","3061 OAK FOREST DR","yes","3061 OAK FOREST DR, baltimore"
"99","1291939","1/21/2024","WATER MAIN BREAK","4300 EAST LOMBARD ST","yes","4300 EAST LOMBARD ST, baltimore"
"100","1291943","1/21/2024","WATER MAIN BREAK","8418 KAVANAGH RD","yes","8418 KAVANAGH RD, baltimore"
"101","1291950","1/21/2024","WATER MAIN BREAK","4800 GREENCREST RD","yes","4800 GREENCREST RD, baltimore"
"102","1291956","1/22/2024","WATER MAIN BREAK","408 ANNETTA RD","yes","408 ANNETTA RD, baltimore"
"103","1291958","1/22/2024","WATER MAIN BREAK","334 RIDGE AVE","yes","334 RIDGE AVE, baltimore"
"104","1291977","1/22/2024","WATER MAIN BREAK","250 NORTH FRANKLINTOWN RD","yes","250 NORTH FRANKLINTOWN RD, baltimore"
"105","1292018","1/22/2024","WATER MAIN BREAK","5003 CEDAR AVE","yes","5003 CEDAR AVE, baltimore"
"106","1292051","1/22/2024","WATER MAIN BREAK","1200 WALTERS AVE","yes","1200 WALTERS AVE, baltimore"
"107","1292059","1/22/2024","WATER MAIN BREAK","6208 EASTBOURNE AVE","yes","6208 EASTBOURNE AVE, baltimore"
"108","1292067","1/22/2024","WATER MAIN BREAK","6818 NAVAJO DR","yes","6818 NAVAJO DR, baltimore"
"109","1292133","1/22/2024","WATER MAIN BREAK","3301 EASTERN BLVD","yes","3301 EASTERN BLVD, baltimore"
"110","1292149","1/22/2024","WATER MAIN BREAK","9304 CARNEY RD","yes","9304 CARNEY RD, baltimore"
"111","1292155","1/22/2024","WATER JOINT LEAK","3 LOVEBIRD CT","yes","3 LOVEBIRD CT, baltimore"
"112","1292160","1/22/2024","WATER MAIN BREAK","13 BANGERT AVE","yes","13 BANGERT AVE, baltimore"
"113","1292170","1/22/2024","WATER MAIN BREAK","4260 FALLS RD","yes","4260 FALLS RD, baltimore"
"114","1292186","1/22/2024","WATER MAIN BREAK","801 OLDHAM ST","yes","801 OLDHAM ST, baltimore"
"115","1292205","1/22/2024","WATER MAIN BREAK","1831 NORTH GAY ST","yes","1831 NORTH GAY ST, baltimore"
"116","1292220","1/22/2024","WATER MAIN BREAK","2670 KENNEDY AVE","yes","2670 KENNEDY AVE, baltimore"
"117","1292242","1/22/2024","WATER MAIN BREAK","2700 BLK KIRK AVE","yes","2700 BLK KIRK AVE, baltimore"
"118","1292303","1/22/2024","WATER MAIN BREAK","3000 PRESBURY ST","yes","3000 PRESBURY ST, baltimore"
"119","1292315","1/22/2024","WATER MAIN BREAK","1902 FOREST CT","yes","1902 FOREST CT, baltimore"
"120","1292316","1/22/2024","WATER MAIN BREAK","1737 NORTH BRADFORD ST","yes","1737 NORTH BRADFORD ST, baltimore"
"121","1292317","1/22/2024","WATER MAIN BREAK","2102 REUTER RD","yes","2102 REUTER RD, baltimore"
"122","1292325","1/22/2024","WATER MAIN BREAK","7202 CHAMBERLAIN RD","yes","7202 CHAMBERLAIN RD, baltimore"
"123","1292339","1/22/2024","WATER MAIN BREAK","3111 CEDARHURST RD","yes","3111 CEDARHURST RD, baltimore"
"124","1292347","1/22/2024","WATER MAIN BREAK","3700 TUDOR ARMS AVE","yes","3700 TUDOR ARMS AVE, baltimore"
"125","1292350","1/22/2024","WATER MAIN BREAK","901 EAST 25TH ST","yes","901 EAST 25TH ST, baltimore"
"126","1292353","1/22/2024","WATER MAIN BREAK","402 BRYANSTONE RD","yes","402 BRYANSTONE RD, baltimore"
"127","1292358","1/22/2024","WATER MAIN BREAK","9500 OLD HARFORD RD","yes","9500 OLD HARFORD RD, baltimore"
"128","1292363","1/23/2024","WATER MAIN BREAK","114 EAST EAGER ST","yes","114 EAST EAGER ST, baltimore"
"129","1292371","1/23/2024","WATER MAIN BREAK","3563 WILKENS AVE","yes","3563 WILKENS AVE, baltimore"
"130","1292411","1/23/2024","WATER MAIN BREAK","31 WENDSLOW RD","yes","31 WENDSLOW RD, baltimore"
"131","1292424","1/23/2024","WATER MAIN BREAK","5517 ASHBOURNE RD","yes","5517 ASHBOURNE RD, baltimore"
"132","1292447","1/23/2024","WATER MAIN BREAK","5702 1ST AVE","yes","5702 1ST AVE, baltimore"
"133","1292477","1/23/2024","WATER MAIN BREAK","2707 OTTAWA AVE","yes","2707 OTTAWA AVE, baltimore"
"134","1292490","1/23/2024","WATER MAIN BREAK","2232 MONOCACY RD","yes","2232 MONOCACY RD, baltimore"
"135","1292494","1/23/2024","WATER MAIN BREAK","911 LEADENHALL ST","yes","911 LEADENHALL ST, baltimore"
"136","1292512","1/23/2024","WATER MAIN BREAK","1715 WEST JOPPA RD","yes","1715 WEST JOPPA RD, baltimore"
"137","1292513","1/23/2024","WATER MAIN BREAK","4800 GREENCREST RD","yes","4800 GREENCREST RD, baltimore"
"138","1292534","1/23/2024","WATER MAIN BREAK","9700 MATZON RD","yes","9700 MATZON RD, baltimore"
"139","1292535","1/23/2024","WATER MAIN BREAK","1614 HAZEL ST","yes","1614 HAZEL ST, baltimore"
"140","1292539","1/23/2024","WATER MAIN BREAK","9506 OLD HARFORD RD","yes","9506 OLD HARFORD RD, baltimore"
"141","1292558","1/23/2024","WATER MAIN BREAK","9109 CARLISLE AVE","yes","9109 CARLISLE AVE, baltimore"
"142","1292564","1/23/2024","WATER MAIN BREAK","131 OAK ST","yes","131 OAK ST, baltimore"
"143","1292572","1/23/2024","WATER MAIN BREAK","4900 BLK TODD AVE","yes","4900 BLK TODD AVE, baltimore"
"144","1292609","1/23/2024","WATER MAIN BREAK","6628 HARFORD RD","yes","6628 HARFORD RD, baltimore"
"145","1292650","1/23/2024","WATER MAIN BREAK","327 SOUTH STRICKER ST","yes","327 SOUTH STRICKER ST, baltimore"
"146","1292686","1/23/2024","WATER JOINT LEAK","10 BANGERT AVE","yes","10 BANGERT AVE, baltimore"
"147","1292691","1/23/2024","WATER JOINT LEAK","2603 BRENDAN AVE","yes","2603 BRENDAN AVE, baltimore"
"148","1292692","1/23/2024","WATER MAIN BREAK","827 NORTH MONTFORD AVE","yes","827 NORTH MONTFORD AVE, baltimore"
"149","1292699","1/23/2024","WATER MAIN BREAK","106 SWANHILL CT","yes","106 SWANHILL CT, baltimore"
"150","1292705","1/23/2024","WATER MAIN BREAK","7500 TUDSBURY RD","yes","7500 TUDSBURY RD, baltimore"
"151","1292710","1/23/2024","WATER MAIN BREAK","3068 MAYFIELD AVE","yes","3068 MAYFIELD AVE, baltimore"
"152","1292714","1/23/2024","WATER MAIN BREAK","8 UNION HALL CT","yes","8 UNION HALL CT, baltimore"
"153","1292725","1/24/2024","WATER MAIN BREAK","2620 BRENDAN AVE","yes","2620 BRENDAN AVE, baltimore"
"154","1292748","1/24/2024","WATER MAIN BREAK","1010 WHATCOAT ST","yes","1010 WHATCOAT ST, baltimore"
"155","1292756","1/24/2024","WATER MAIN BREAK","2400 ROBB ST","yes","2400 ROBB ST, baltimore"
"156","1292781","1/24/2024","WATER MAIN BREAK","3500 CHARLESWORTH RD","yes","3500 CHARLESWORTH RD, baltimore"
"157","1292808","1/24/2024","WATER MAIN BREAK","1400 LEMMON ST","yes","1400 LEMMON ST, baltimore"
"158","1292883","1/24/2024","WATER JOINT LEAK","4104 WINDRIDGE RD","yes","4104 WINDRIDGE RD, baltimore"
"159","1292906","1/24/2024","WATER MAIN BREAK","4773 ELISON AVE","yes","4773 ELISON AVE, baltimore"
"160","1292909","1/24/2024","WATER MAIN BREAK","5505 KEMPER RD","yes","5505 KEMPER RD, baltimore"
"161","1292934","1/24/2024","WATER MAIN BREAK","1873 LOCH SHIEL RD","yes","1873 LOCH SHIEL RD, baltimore"
"162","1293014","1/24/2024","WATER MAIN BREAK","302 PRESWAY RD","yes","302 PRESWAY RD, baltimore"
"163","1293027","1/24/2024","WATER JOINT LEAK","1724 WEST BALTIMORE ST","yes","1724 WEST BALTIMORE ST, baltimore"
"164","1293030","1/24/2024","WATER MAIN BREAK","3507 ROLLING RD","yes","3507 ROLLING RD, baltimore"
"165","1293042","1/24/2024","WATER MAIN BREAK","2105 CHAPELWOOD CT","yes","2105 CHAPELWOOD CT, baltimore"
"166","1293047","1/24/2024","WATER MAIN BREAK","136 GREENRIDGE RD","yes","136 GREENRIDGE RD, baltimore"
"167","1293054","1/24/2024","WATER MAIN BREAK","6826 NAVAJO DR","yes","6826 NAVAJO DR, baltimore"
"168","1293056","1/24/2024","WATER MAIN BREAK","6504 GREENSPRING AVE","yes","6504 GREENSPRING AVE, baltimore"
"169","1293063","1/25/2024","WATER MAIN BREAK","622 HAMMERSHIRE RD","yes","622 HAMMERSHIRE RD, baltimore"
"170","1293064","1/25/2024","WATER MAIN BREAK","3647 CLIFTMONT AVE","yes","3647 CLIFTMONT AVE, baltimore"
"171","1293077","1/25/2024","WATER JOINT LEAK","3700 TUDOR ARMS AVE","yes","3700 TUDOR ARMS AVE, baltimore"
"172","1293107","1/25/2024","WATER MAIN BREAK","900 HARGROVE ST","yes","900 HARGROVE ST, baltimore"
"173","1293111","1/25/2024","WATER MAIN BREAK","1221 ROUNDHILL RD","yes","1221 ROUNDHILL RD, baltimore"
"174","1293117","1/25/2024","WATER MAIN BREAK","1116 BAKER AVE","yes","1116 BAKER AVE, baltimore"
"175","1293140","1/25/2024","WATER MAIN BREAK","6144 DUNROMING RD","yes","6144 DUNROMING RD, baltimore"
"176","1293154","1/25/2024","WATER MAIN BREAK","1944 HASELMERE RD","yes","1944 HASELMERE RD, baltimore"
"177","1293170","1/25/2024","WATER MAIN BREAK","9 MAVISTA AVE","yes","9 MAVISTA AVE, baltimore"
"178","1293187","1/25/2024","WATER MAIN BREAK","5733 MINERAL AVE","yes","5733 MINERAL AVE, baltimore"
"179","1293203","1/25/2024","WATER MAIN BREAK","1103 CAWDOR CT","yes","1103 CAWDOR CT, baltimore"
"180","1293222","1/25/2024","WATER MAIN BREAK","6214 PIMLICO RD","yes","6214 PIMLICO RD, baltimore"
"181","1293513","1/25/2024","WATER MAIN BREAK","7927 SAINT GREGORY DR","yes","7927 SAINT GREGORY DR, baltimore"
"182","1294084","1/25/2024","WATER MAIN BREAK","19 FULLERTON HEIGHTS AVE","yes","19 FULLERTON HEIGHTS AVE, baltimore"
"183","1295397","1/25/2024","WATER MAIN BREAK","515 PATUXENT AVE","yes","515 PATUXENT AVE, baltimore"
"184","1295817","1/25/2024","WATER MAIN BREAK","1847 DRUID HILL AVE","yes","1847 DRUID HILL AVE, baltimore"
"185","1295864","1/25/2024","WATER MAIN BREAK","1521 WEYBURN RD","yes","1521 WEYBURN RD, baltimore"
"186","1297123","1/25/2024","WATER MAIN BREAK","11 WEST MOUNT ROYAL AVE","yes","11 WEST MOUNT ROYAL AVE, baltimore"
"187","1297226","1/25/2024","WATER MAIN BREAK","1507 VINE ST","yes","1507 VINE ST, baltimore"
"188","1297987","1/25/2024","WATER MAIN BREAK","4810 KING AVE","yes","4810 KING AVE, baltimore"
"189","1300586","1/26/2024","WATER MAIN BREAK","929 HARGROVE ST","yes","929 HARGROVE ST, baltimore"
"190","1300844","1/26/2024","WATER MAIN BREAK","1946 HASELMERE RD","yes","1946 HASELMERE RD, baltimore"
"191","1300958","1/26/2024","WATER MAIN BREAK","4608 RIDGEWAY AVE","yes","4608 RIDGEWAY AVE, baltimore"
"192","1301285","1/26/2024","WATER MAIN BREAK","140 GREENRIDGE RD","yes","140 GREENRIDGE RD, baltimore"
"193","1301331","1/26/2024","WATER MAIN BREAK","100 GREENRIDGE CT","yes","100 GREENRIDGE CT, baltimore"
"194","1301341","1/26/2024","WATER MAIN BREAK","107 GREENRIDGE CT","yes","107 GREENRIDGE CT, baltimore"
"195","1301466","1/26/2024","WATER MAIN BREAK","4200 SHELDON AVE","yes","4200 SHELDON AVE, baltimore"
"196","1301703","1/26/2024","WATER MAIN BREAK","1932 WEST BALTIMORE ST","yes","1932 WEST BALTIMORE ST, baltimore"
"197","1301721","1/26/2024","WATER MAIN BREAK","1200 RANKIN PL","yes","1200 RANKIN PL, baltimore"
"198","1302036","1/26/2024","WATER MAIN BREAK","3000 TOWANDA AVE","yes","3000 TOWANDA AVE, baltimore"
"199","1302835","1/26/2024","WATER JOINT LEAK","2509 HUNTINGDON AVE","yes","2509 HUNTINGDON AVE, baltimore"
"200","1302970","1/26/2024","WATER MAIN BREAK","8112 LINDEN AVE","yes","8112 LINDEN AVE, baltimore"
"201","1303765","1/26/2024","WATER MAIN BREAK","6 SMITH LN","yes","6 SMITH LN, baltimore"
"202","1304157","1/26/2024","WATER MAIN BREAK","1846 SUTTON AVE","yes","1846 SUTTON AVE, baltimore"
"203","1304360","1/26/2024","WATER MAIN BREAK","13 BANGERT AVE","yes","13 BANGERT AVE, baltimore"
"204","1304368","1/26/2024","WATER MAIN BREAK","7902 SUBET RD","yes","7902 SUBET RD, baltimore"
"205","1304378","1/26/2024","WATER MAIN BREAK","4501 POPLAR AVE","yes","4501 POPLAR AVE, baltimore"
"206","1304382","1/26/2024","WATER MAIN BREAK","3008 ROSELAWN AVE","yes","3008 ROSELAWN AVE, baltimore"
"207","1304384","1/26/2024","WATER MAIN BREAK","700 BLK BATTERY AVE","yes","700 BLK BATTERY AVE, baltimore"
"208","1304391","1/27/2024","WATER MAIN BREAK","5201 MORAVIA RD","yes","5201 MORAVIA RD, baltimore"
"209","1304398","1/27/2024","WATER MAIN BREAK","1427 EAST EAGER ST","yes","1427 EAST EAGER ST, baltimore"
"210","1304399","1/27/2024","WATER MAIN BREAK","807 BROOKS LN","yes","807 BROOKS LN, baltimore"
"211","1304417","1/27/2024","WATER MAIN BREAK","2402 WEST FAYETTE ST","yes","2402 WEST FAYETTE ST, baltimore"
"212","1304438","1/27/2024","WATER MAIN BREAK","1020 TRICKLING BROOK RD","yes","1020 TRICKLING BROOK RD, baltimore"
"213","1304439","1/27/2024","WATER MAIN BREAK","662 FOLCROFT ST","yes","662 FOLCROFT ST, baltimore"
"214","1304473","1/27/2024","WATER MAIN BREAK","6211 PLYMOUTH RD","yes","6211 PLYMOUTH RD, baltimore"
"215","1304488","1/27/2024","WATER MAIN BREAK","1453 KENT RD","yes","1453 KENT RD, baltimore"
"216","1304492","1/27/2024","WATER MAIN BREAK","7 GREEN HEATHER CT","yes","7 GREEN HEATHER CT, baltimore"
"217","1304522","1/27/2024","WATER MAIN BREAK","326 UPPERLANDING RD","yes","326 UPPERLANDING RD, baltimore"
"218","1304524","1/27/2024","WATER MAIN BREAK","6839 QUEENS FERRY RD","yes","6839 QUEENS FERRY RD, baltimore"
"219","1304564","1/28/2024","WATER MAIN BREAK","1614 HAZEL ST","yes","1614 HAZEL ST, baltimore"
"220","1304585","1/29/2024","WATER MAIN BREAK","2924 CHARLESTON AVE","yes","2924 CHARLESTON AVE, baltimore"
"221","1304590","1/29/2024","WATER JOINT LEAK","5505 KEMPER RD","yes","5505 KEMPER RD, baltimore"
"222","1304594","1/29/2024","WATER MAIN BREAK","5702 1ST AVE","yes","5702 1ST AVE, baltimore"
"223","1304671","1/29/2024","WATER MAIN BREAK","5719 2ND AVE","yes","5719 2ND AVE, baltimore"
"224","1304717","1/29/2024","WATER MAIN BREAK","3003 DUNMORE RD","yes","3003 DUNMORE RD, baltimore"
"225","1304773","1/29/2024","WATER MAIN BREAK","2804 SILVER HILL AVE","yes","2804 SILVER HILL AVE, baltimore"
"226","1304838","1/29/2024","WATER MAIN BREAK","429 ROBERT ST","yes","429 ROBERT ST, baltimore"
"227","1304871","1/29/2024","WATER MAIN BREAK","1716 NORTH CALHOUN ST","yes","1716 NORTH CALHOUN ST, baltimore"
"228","1304983","1/30/2024","WATER MAIN BREAK","700 BLK BATTERY AVE","yes","700 BLK BATTERY AVE, baltimore"
"229","1305275","1/30/2024","WATER MAIN BREAK","114 EAST EAGER ST","yes","114 EAST EAGER ST, baltimore"
"230","1305838","1/30/2024","WATER MAIN BREAK","119 CHARGEUR RD","yes","119 CHARGEUR RD, baltimore"
