"","workorderid","date","description","address","address1"
"22","1286641","1/4/2024","WATER MAIN BREAK","4604 ARABIA AVE","4604 ARABIA AVE, baltimore"
"23","1286783","1/4/2024","WATER JOINT LEAK","REISTERSTOWN RD BOARMAN AVE","REISTERSTOWN RD BOARMAN AVE, baltimore"
"24","1286804","1/4/2024","WATER MAIN BREAK","2041 EAST FAIRMOUNT AVE","2041 EAST FAIRMOUNT AVE, baltimore"
"25","1286811","1/4/2024","WATER MAIN BREAK","107 EAST PRESTON ST","107 EAST PRESTON ST, baltimore"
"26","1286812","1/4/2024","WATER MAIN BREAK","4234 PARKSIDE DR","4234 PARKSIDE DR, baltimore"
"27","1287183","1/5/2024","WATER JOINT LEAK","3423 PHILIPS DR","3423 PHILIPS DR, baltimore"
"28","1287185","1/5/2024","WATER JOINT LEAK","28 WOODHOLME AVE","28 WOODHOLME AVE, baltimore"
"29","1287407","1/6/2024","WATER MAIN BREAK","33 GREENWOOD AVE","33 GREENWOOD AVE, baltimore"
"30","1287448","1/7/2024","WATER MAIN BREAK","1524 NORTH BOND ST","1524 NORTH BOND ST, baltimore"
"31","1287465","1/7/2024","WATER MAIN BREAK","1732 BEECHWOOD AVE","1732 BEECHWOOD AVE, baltimore"
"32","1287468","1/7/2024","WATER MAIN BREAK","240 SOUTH GILMOR ST","240 SOUTH GILMOR ST, baltimore"
"33","1287483","1/7/2024","WATER MAIN BREAK","2 HEDGEFORD CT","2 HEDGEFORD CT, baltimore"
"34","1287485","1/7/2024","WATER MAIN BREAK","8112 ARROWHEAD RD","8112 ARROWHEAD RD, baltimore"
"35","1287486","1/7/2024","WATER MAIN BREAK","820 WEDGEWOOD RD","820 WEDGEWOOD RD, baltimore"
"36","1287503","1/8/2024","WATER MAIN BREAK","3515 EAST JOPPA RD","3515 EAST JOPPA RD, baltimore"
"37","1287607","1/8/2024","WATER MAIN BREAK","4423 TODD POINT LN","4423 TODD POINT LN, baltimore"
"38","1287661","1/8/2024","WATER MAIN BREAK","321 TUSCANY RD","321 TUSCANY RD, baltimore"
"39","1287743","1/8/2024","WATER MAIN BREAK","BOARMAN AVE AND REISTERSTOWN RD","BOARMAN AVE AND REISTERSTOWN RD, baltimore"
"40","1287890","1/9/2024","WATER MAIN BREAK","2 HEDGEFORD CT","2 HEDGEFORD CT, baltimore"
"41","1287957","1/9/2024","WATER MAIN BREAK","607 REST AVE","607 REST AVE, baltimore"
"42","1288326","1/10/2024","WATER MAIN BREAK","933 ELM RIDGE AVE","933 ELM RIDGE AVE, baltimore"
"43","1288452","1/10/2024","WATER MAIN BREAK","119 NORTH FULTON AVE","119 NORTH FULTON AVE, baltimore"
"44","1288457","1/10/2024","WATER MAIN BREAK","2500 BLK ORLEANS ST","2500 BLK ORLEANS ST, baltimore"
"45","1288459","1/10/2024","WATER MAIN BREAK","6 SPARROW HILL CT","6 SPARROW HILL CT, baltimore"
"46","1288470","1/10/2024","WATER MAIN BREAK","5721 2ND AVE","5721 2ND AVE, baltimore"
"47","1288481","1/10/2024","WATER MAIN BREAK","HOMESTEAD SAINT AND KIRK AVE","HOMESTEAD SAINT AND KIRK AVE, baltimore"
"48","1288508","1/10/2024","WATER MAIN BREAK","1217 OAK CROFT DR","1217 OAK CROFT DR, baltimore"
"49","1288518","1/10/2024","WATER MAIN BREAK","4917 LANIER AVE","4917 LANIER AVE, baltimore"
"50","1288533","1/11/2024","WATER MAIN BREAK","1831 HANFORD RD","1831 HANFORD RD, baltimore"
"51","1288549","1/11/2024","WATER MAIN BREAK","KAVON AVE AND SHAMROCK AVE","KAVON AVE AND SHAMROCK AVE, baltimore"
"52","1288568","1/11/2024","WATER MAIN BREAK","2983 FALLS RD","2983 FALLS RD, baltimore"
"53","1288576","1/11/2024","WATER MAIN BREAK","4909 BRIARCLIFT RD","4909 BRIARCLIFT RD, baltimore"
"54","1288609","1/11/2024","WATER MAIN BREAK","16 STRABANE CT","16 STRABANE CT, baltimore"
"55","1288669","1/11/2024","WATER MAIN BREAK","2300 WEST BALTIMORE ST","2300 WEST BALTIMORE ST, baltimore"
"56","1288680","1/11/2024","WATER JOINT LEAK","1031 METFIELD RD","1031 METFIELD RD, baltimore"
"57","1288814","1/12/2024","WATER MAIN BREAK","HOMESTEAD SAINT AND KIRK AVE","HOMESTEAD SAINT AND KIRK AVE, baltimore"
"58","1288927","1/12/2024","WATER JOINT LEAK","1008 TIMBER TRAIL RD","1008 TIMBER TRAIL RD, baltimore"
"59","1288969","1/12/2024","WATER JOINT LEAK","2014 HILLENWOOD RD","2014 HILLENWOOD RD, baltimore"
"60","1288973","1/12/2024","WATER MAIN BREAK","1112 MIDDLEBOROUGH RD","1112 MIDDLEBOROUGH RD, baltimore"
"61","1288982","1/12/2024","WATER MAIN BREAK","2017 HILLENWOOD RD","2017 HILLENWOOD RD, baltimore"
"62","1288999","1/13/2024","WATER MAIN BREAK","20 YORKWAY","20 YORKWAY, baltimore"
"63","1289025","1/13/2024","WATER MAIN BREAK","10 FOX KNOLL CT","10 FOX KNOLL CT, baltimore"
"64","1289058","1/14/2024","WATER MAIN BREAK","5115 FREDERICK AVE","5115 FREDERICK AVE, baltimore"
"65","1289064","1/14/2024","WATER MAIN BREAK","103 NORTH PAYSON ST","103 NORTH PAYSON ST, baltimore"
"66","1289083","1/14/2024","WATER MAIN BREAK","417 DEACON BROOK CIR","417 DEACON BROOK CIR, baltimore"
"67","1289089","1/14/2024","WATER MAIN BREAK","2203 KRONE CT","2203 KRONE CT, baltimore"
"68","1289197","1/15/2024","WATER MAIN BREAK","417 DEACON BROOK CIR","417 DEACON BROOK CIR, baltimore"
"69","1289350","1/15/2024","WATER MAIN BREAK","9403 JODALE RD","9403 JODALE RD, baltimore"
"70","1290410","1/17/2024","WATER MAIN BREAK","4106 WINDRIDGE RD","4106 WINDRIDGE RD, baltimore"
"71","1290483","1/17/2024","WATER MAIN BREAK","6103 FALLS RD","6103 FALLS RD, baltimore"
"72","1290493","1/17/2024","WATER MAIN BREAK","1518 WILLIAM ST","1518 WILLIAM ST, baltimore"
"73","1290516","1/17/2024","WATER MAIN BREAK","3804 ECHODALE AVE","3804 ECHODALE AVE, baltimore"
"74","1290519","1/18/2024","WATER MAIN BREAK","2211 WEST LAFAYETTE AVE","2211 WEST LAFAYETTE AVE, baltimore"
"75","1290520","1/18/2024","WATER MAIN BREAK","113 NORTH FULTON AVE","113 NORTH FULTON AVE, baltimore"
"76","1290523","1/18/2024","WATER MAIN BREAK","SOUTH NORRIS SAINT AND HOLLINS ST","SOUTH NORRIS SAINT AND HOLLINS ST, baltimore"
"77","1290553","1/18/2024","WATER MAIN BREAK","3695 KENYON AVE","3695 KENYON AVE, baltimore"
"78","1290581","1/18/2024","WATER MAIN BREAK","745 WEATHERBEE RD","745 WEATHERBEE RD, baltimore"
"79","1290586","1/18/2024","WATER MAIN BREAK","330 WEST 24TH ST","330 WEST 24TH ST, baltimore"
"80","1290616","1/18/2024","WATER MAIN BREAK","EAST FAIRMOUNT AVE AND NORTH BROADWAY","EAST FAIRMOUNT AVE AND NORTH BROADWAY, baltimore"
"81","1290678","1/18/2024","WATER MAIN BREAK","SHERWOOD AVE AND YORKWOOD RD","SHERWOOD AVE AND YORKWOOD RD, baltimore"
"82","1290746","1/18/2024","WATER JOINT LEAK","3681 KENYON AVE","3681 KENYON AVE, baltimore"
"83","1291084","1/19/2024","WATER MAIN BREAK","4131 THE ALAMEDA","4131 THE ALAMEDA, baltimore"
"84","1291085","1/19/2024","WATER MAIN BREAK","3228 TARTARIAN CT","3228 TARTARIAN CT, baltimore"
"85","1291087","1/19/2024","WATER MAIN BREAK","3900 BLK MONDAWMIN AVE","3900 BLK MONDAWMIN AVE, baltimore"
"86","1291218","1/19/2024","WATER MAIN BREAK","4025 STARBROOK RD","4025 STARBROOK RD, baltimore"
"87","1291277","1/19/2024","WATER MAIN BREAK","6309 PIONEER DR","6309 PIONEER DR, baltimore"
"88","1291454","1/19/2024","WATER MAIN BREAK","224 TUNBRIDGE RD","224 TUNBRIDGE RD, baltimore"
"89","1291829","1/20/2024","WATER MAIN BREAK","1324 HAUBERT ST","1324 HAUBERT ST, baltimore"
"90","1291843","1/20/2024","WATER MAIN BREAK","2301 MOSHER ST","2301 MOSHER ST, baltimore"
"91","1291846","1/20/2024","WATER MAIN BREAK","511 THORNFIELD RD","511 THORNFIELD RD, baltimore"
"92","1291856","1/20/2024","WATER MAIN BREAK","1000 PINE HEIGHTS AVE","1000 PINE HEIGHTS AVE, baltimore"
"93","1291857","1/20/2024","WATER MAIN BREAK","1319 SOUTHVIEW RD","1319 SOUTHVIEW RD, baltimore"
"94","1291861","1/20/2024","WATER MAIN BREAK","1103 CAWDOR CT","1103 CAWDOR CT, baltimore"
"95","1291862","1/20/2024","WATER MAIN BREAK","3 LOVEBIRD CT","3 LOVEBIRD CT, baltimore"
"96","1291864","1/20/2024","WATER MAIN BREAK","320 PRESWAY RD","320 PRESWAY RD, baltimore"
"97","1291868","1/20/2024","WATER MAIN BREAK","909 BEAVERBANK CIR","909 BEAVERBANK CIR, baltimore"
"98","1291879","1/20/2024","WATER MAIN BREAK","9111 KILBRIDE RD","9111 KILBRIDE RD, baltimore"
"99","1291882","1/20/2024","WATER MAIN BREAK","939 NORTH CENTRAL AVE","939 NORTH CENTRAL AVE, baltimore"
"100","1291884","1/20/2024","WATER MAIN BREAK","500 HOLTZMAN CT","500 HOLTZMAN CT, baltimore"
"101","1291889","1/20/2024","WATER MAIN BREAK","2605 BRENDAN AVE","2605 BRENDAN AVE, baltimore"
"102","1291896","1/21/2024","WATER MAIN BREAK","4509 FULLERTON AVE","4509 FULLERTON AVE, baltimore"
"103","1291899","1/21/2024","WATER MAIN BREAK","KAVON AVE AND SEIDEL AVE","KAVON AVE AND SEIDEL AVE, baltimore"
"104","1291900","1/21/2024","WATER MAIN BREAK","24 LOCUST DR","24 LOCUST DR, baltimore"
"105","1291902","1/21/2024","WATER MAIN BREAK","24 LOCUST DR","24 LOCUST DR, baltimore"
"106","1291907","1/21/2024","WATER MAIN BREAK","205 PURLINGTON RD","205 PURLINGTON RD, baltimore"
"107","1291909","1/21/2024","WATER MAIN BREAK","6000 STUART AVE","6000 STUART AVE, baltimore"
"108","1291914","1/21/2024","WATER MAIN BREAK","2300 MOSHER ST","2300 MOSHER ST, baltimore"
"109","1291924","1/21/2024","WATER MAIN BREAK","1328 WEST LANVALE ST","1328 WEST LANVALE ST, baltimore"
"110","1291930","1/21/2024","WATER MAIN BREAK","800 NORTH MONROE ST","800 NORTH MONROE ST, baltimore"
"111","1291937","1/21/2024","WATER MAIN BREAK","3061 OAK FOREST DR","3061 OAK FOREST DR, baltimore"
"112","1291939","1/21/2024","WATER MAIN BREAK","4300 EAST LOMBARD ST","4300 EAST LOMBARD ST, baltimore"
"113","1291943","1/21/2024","WATER MAIN BREAK","8418 KAVANAGH RD","8418 KAVANAGH RD, baltimore"
"114","1291949","1/21/2024","WATER MAIN BREAK","PREAKNESS WAY AND WEST NORTHERN PKWY","PREAKNESS WAY AND WEST NORTHERN PKWY, baltimore"
"115","1291950","1/21/2024","WATER MAIN BREAK","4800 GREENCREST RD","4800 GREENCREST RD, baltimore"
"116","1291956","1/22/2024","WATER MAIN BREAK","408 ANNETTA RD","408 ANNETTA RD, baltimore"
"117","1291958","1/22/2024","WATER MAIN BREAK","334 RIDGE AVE","334 RIDGE AVE, baltimore"
"118","1291977","1/22/2024","WATER MAIN BREAK","250 NORTH FRANKLINTOWN RD","250 NORTH FRANKLINTOWN RD, baltimore"
"119","1292018","1/22/2024","WATER MAIN BREAK","5003 CEDAR AVE","5003 CEDAR AVE, baltimore"
"120","1292021","1/22/2024","WATER MAIN BREAK","FALKIRK RD AND SHERWOOD AVE","FALKIRK RD AND SHERWOOD AVE, baltimore"
"121","1292051","1/22/2024","WATER MAIN BREAK","1200 WALTERS AVE","1200 WALTERS AVE, baltimore"
"122","1292059","1/22/2024","WATER MAIN BREAK","6208 EASTBOURNE AVE","6208 EASTBOURNE AVE, baltimore"
"123","1292067","1/22/2024","WATER MAIN BREAK","6818 NAVAJO DR","6818 NAVAJO DR, baltimore"
"124","1292133","1/22/2024","WATER MAIN BREAK","3301 EASTERN BLVD","3301 EASTERN BLVD, baltimore"
"125","1292149","1/22/2024","WATER MAIN BREAK","9304 CARNEY RD","9304 CARNEY RD, baltimore"
"126","1292151","1/22/2024","WATER MAIN BREAK","NORTH CHARLES SAINT AND EAST MOUNT ROYAL ST","NORTH CHARLES SAINT AND EAST MOUNT ROYAL ST, baltimore"
"127","1292155","1/22/2024","WATER JOINT LEAK","3 LOVEBIRD CT","3 LOVEBIRD CT, baltimore"
"128","1292160","1/22/2024","WATER MAIN BREAK","13 BANGERT AVE","13 BANGERT AVE, baltimore"
"129","1292170","1/22/2024","WATER MAIN BREAK","4260 FALLS RD","4260 FALLS RD, baltimore"
"130","1292186","1/22/2024","WATER MAIN BREAK","801 OLDHAM ST","801 OLDHAM ST, baltimore"
"131","1292205","1/22/2024","WATER MAIN BREAK","1831 NORTH GAY ST","1831 NORTH GAY ST, baltimore"
"132","1292220","1/22/2024","WATER MAIN BREAK","2670 KENNEDY AVE","2670 KENNEDY AVE, baltimore"
"133","1292242","1/22/2024","WATER MAIN BREAK","2700 BLK KIRK AVE","2700 BLK KIRK AVE, baltimore"
"134","1292303","1/22/2024","WATER MAIN BREAK","3000 PRESBURY ST","3000 PRESBURY ST, baltimore"
"135","1292306","1/22/2024","WATER MAIN BREAK","HAMPNETT AVE AND MARKLEY AVE","HAMPNETT AVE AND MARKLEY AVE, baltimore"
"136","1292315","1/22/2024","WATER MAIN BREAK","1902 FOREST CT","1902 FOREST CT, baltimore"
"137","1292316","1/22/2024","WATER MAIN BREAK","1737 NORTH BRADFORD ST","1737 NORTH BRADFORD ST, baltimore"
"138","1292317","1/22/2024","WATER MAIN BREAK","2102 REUTER RD","2102 REUTER RD, baltimore"
"139","1292325","1/22/2024","WATER MAIN BREAK","7202 CHAMBERLAIN RD","7202 CHAMBERLAIN RD, baltimore"
"140","1292339","1/22/2024","WATER MAIN BREAK","3111 CEDARHURST RD","3111 CEDARHURST RD, baltimore"
"141","1292347","1/22/2024","WATER MAIN BREAK","3700 TUDOR ARMS AVE","3700 TUDOR ARMS AVE, baltimore"
"142","1292350","1/22/2024","WATER MAIN BREAK","901 EAST 25TH ST","901 EAST 25TH ST, baltimore"
"143","1292353","1/22/2024","WATER MAIN BREAK","402 BRYANSTONE RD","402 BRYANSTONE RD, baltimore"
"144","1292358","1/22/2024","WATER MAIN BREAK","9500 OLD HARFORD RD","9500 OLD HARFORD RD, baltimore"
"145","1292363","1/23/2024","WATER MAIN BREAK","114 EAST EAGER ST","114 EAST EAGER ST, baltimore"
"146","1292371","1/23/2024","WATER MAIN BREAK","3563 WILKENS AVE","3563 WILKENS AVE, baltimore"
"147","1292411","1/23/2024","WATER MAIN BREAK","31 WENDSLOW RD","31 WENDSLOW RD, baltimore"
"148","1292424","1/23/2024","WATER MAIN BREAK","5517 ASHBOURNE RD","5517 ASHBOURNE RD, baltimore"
"149","1292447","1/23/2024","WATER MAIN BREAK","5702 1ST AVE","5702 1ST AVE, baltimore"
"150","1292477","1/23/2024","WATER MAIN BREAK","2707 OTTAWA AVE","2707 OTTAWA AVE, baltimore"
"151","1292490","1/23/2024","WATER MAIN BREAK","2232 MONOCACY RD","2232 MONOCACY RD, baltimore"
"152","1292494","1/23/2024","WATER MAIN BREAK","911 LEADENHALL ST","911 LEADENHALL ST, baltimore"
"153","1292512","1/23/2024","WATER MAIN BREAK","1715 WEST JOPPA RD","1715 WEST JOPPA RD, baltimore"
"154","1292513","1/23/2024","WATER MAIN BREAK","4800 GREENCREST RD","4800 GREENCREST RD, baltimore"
"155","1292534","1/23/2024","WATER MAIN BREAK","9700 MATZON RD","9700 MATZON RD, baltimore"
"156","1292535","1/23/2024","WATER MAIN BREAK","1614 HAZEL ST","1614 HAZEL ST, baltimore"
"157","1292539","1/23/2024","WATER MAIN BREAK","9506 OLD HARFORD RD","9506 OLD HARFORD RD, baltimore"
"158","1292558","1/23/2024","WATER MAIN BREAK","9109 CARLISLE AVE","9109 CARLISLE AVE, baltimore"
"159","1292564","1/23/2024","WATER MAIN BREAK","131 OAK ST","131 OAK ST, baltimore"
"160","1292572","1/23/2024","WATER MAIN BREAK","4900 BLK TODD AVE","4900 BLK TODD AVE, baltimore"
"161","1292609","1/23/2024","WATER MAIN BREAK","6628 HARFORD RD","6628 HARFORD RD, baltimore"
"162","1292650","1/23/2024","WATER MAIN BREAK","327 SOUTH STRICKER ST","327 SOUTH STRICKER ST, baltimore"
"163","1292686","1/23/2024","WATER JOINT LEAK","10 BANGERT AVE","10 BANGERT AVE, baltimore"
"164","1292691","1/23/2024","WATER JOINT LEAK","2603 BRENDAN AVE","2603 BRENDAN AVE, baltimore"
"165","1292692","1/23/2024","WATER MAIN BREAK","827 NORTH MONTFORD AVE","827 NORTH MONTFORD AVE, baltimore"
"166","1292699","1/23/2024","WATER MAIN BREAK","106 SWANHILL CT","106 SWANHILL CT, baltimore"
"167","1292705","1/23/2024","WATER MAIN BREAK","7500 TUDSBURY RD","7500 TUDSBURY RD, baltimore"
"168","1292710","1/23/2024","WATER MAIN BREAK","3068 MAYFIELD AVE","3068 MAYFIELD AVE, baltimore"
"169","1292714","1/23/2024","WATER MAIN BREAK","8 UNION HALL CT","8 UNION HALL CT, baltimore"
"170","1292725","1/24/2024","WATER MAIN BREAK","2620 BRENDAN AVE","2620 BRENDAN AVE, baltimore"
"171","1292748","1/24/2024","WATER MAIN BREAK","1010 WHATCOAT ST","1010 WHATCOAT ST, baltimore"
"172","1292756","1/24/2024","WATER MAIN BREAK","2400 ROBB ST","2400 ROBB ST, baltimore"
"173","1292781","1/24/2024","WATER MAIN BREAK","3500 CHARLESWORTH RD","3500 CHARLESWORTH RD, baltimore"
"174","1292808","1/24/2024","WATER MAIN BREAK","1400 LEMMON ST","1400 LEMMON ST, baltimore"
"175","1292883","1/24/2024","WATER JOINT LEAK","4104 WINDRIDGE RD","4104 WINDRIDGE RD, baltimore"
"176","1292906","1/24/2024","WATER MAIN BREAK","4773 ELISON AVE","4773 ELISON AVE, baltimore"
"177","1292909","1/24/2024","WATER MAIN BREAK","5505 KEMPER RD","5505 KEMPER RD, baltimore"
"178","1292934","1/24/2024","WATER MAIN BREAK","1873 LOCH SHIEL RD","1873 LOCH SHIEL RD, baltimore"
"179","1292973","1/24/2024","WATER MAIN BREAK","EAST 25TH SAINT AND NORTH CHARLES ST","EAST 25TH SAINT AND NORTH CHARLES ST, baltimore"
"180","1293014","1/24/2024","WATER MAIN BREAK","302 PRESWAY RD","302 PRESWAY RD, baltimore"
"181","1293027","1/24/2024","WATER JOINT LEAK","1724 WEST BALTIMORE ST","1724 WEST BALTIMORE ST, baltimore"
"182","1293030","1/24/2024","WATER MAIN BREAK","3507 ROLLING RD","3507 ROLLING RD, baltimore"
"183","1293042","1/24/2024","WATER MAIN BREAK","2105 CHAPELWOOD CT","2105 CHAPELWOOD CT, baltimore"
"184","1293047","1/24/2024","WATER MAIN BREAK","136 GREENRIDGE RD","136 GREENRIDGE RD, baltimore"
"185","1293054","1/24/2024","WATER MAIN BREAK","6826 NAVAJO DR","6826 NAVAJO DR, baltimore"
"186","1293056","1/24/2024","WATER MAIN BREAK","6504 GREENSPRING AVE","6504 GREENSPRING AVE, baltimore"
"187","1293063","1/25/2024","WATER MAIN BREAK","622 HAMMERSHIRE RD","622 HAMMERSHIRE RD, baltimore"
"188","1293064","1/25/2024","WATER MAIN BREAK","3647 CLIFTMONT AVE","3647 CLIFTMONT AVE, baltimore"
"189","1293077","1/25/2024","WATER JOINT LEAK","3700 TUDOR ARMS AVE","3700 TUDOR ARMS AVE, baltimore"
"190","1293107","1/25/2024","WATER MAIN BREAK","900 HARGROVE ST","900 HARGROVE ST, baltimore"
"191","1293111","1/25/2024","WATER MAIN BREAK","1221 ROUNDHILL RD","1221 ROUNDHILL RD, baltimore"
"192","1293117","1/25/2024","WATER MAIN BREAK","1116 BAKER AVE","1116 BAKER AVE, baltimore"
"193","1293130","1/25/2024","WATER MAIN BREAK","CLIFTMONT AVE DUDLEY AVE","CLIFTMONT AVE DUDLEY AVE, baltimore"
"194","1293140","1/25/2024","WATER MAIN BREAK","6144 DUNROMING RD","6144 DUNROMING RD, baltimore"
"195","1293154","1/25/2024","WATER MAIN BREAK","1944 HASELMERE RD","1944 HASELMERE RD, baltimore"
"196","1293170","1/25/2024","WATER MAIN BREAK","9 MAVISTA AVE","9 MAVISTA AVE, baltimore"
"197","1293187","1/25/2024","WATER MAIN BREAK","5733 MINERAL AVE","5733 MINERAL AVE, baltimore"
"198","1293203","1/25/2024","WATER MAIN BREAK","1103 CAWDOR CT","1103 CAWDOR CT, baltimore"
"199","1293222","1/25/2024","WATER MAIN BREAK","6214 PIMLICO RD","6214 PIMLICO RD, baltimore"
"200","1293513","1/25/2024","WATER MAIN BREAK","7927 SAINT GREGORY DR","7927 SAINT GREGORY DR, baltimore"
"201","1294084","1/25/2024","WATER MAIN BREAK","19 FULLERTON HEIGHTS AVE","19 FULLERTON HEIGHTS AVE, baltimore"
"202","1295397","1/25/2024","WATER MAIN BREAK","515 PATUXENT AVE","515 PATUXENT AVE, baltimore"
"203","1295817","1/25/2024","WATER MAIN BREAK","1847 DRUID HILL AVE","1847 DRUID HILL AVE, baltimore"
"204","1295864","1/25/2024","WATER MAIN BREAK","1521 WEYBURN RD","1521 WEYBURN RD, baltimore"
"205","1297123","1/25/2024","WATER MAIN BREAK","11 WEST MOUNT ROYAL AVE","11 WEST MOUNT ROYAL AVE, baltimore"
"206","1297226","1/25/2024","WATER MAIN BREAK","1507 VINE ST","1507 VINE ST, baltimore"
"207","1297987","1/25/2024","WATER MAIN BREAK","4810 KING AVE","4810 KING AVE, baltimore"
"208","1300586","1/26/2024","WATER MAIN BREAK","929 HARGROVE ST","929 HARGROVE ST, baltimore"
"209","1300844","1/26/2024","WATER MAIN BREAK","1946 HASELMERE RD","1946 HASELMERE RD, baltimore"
"210","1300958","1/26/2024","WATER MAIN BREAK","4608 RIDGEWAY AVE","4608 RIDGEWAY AVE, baltimore"
"211","1301285","1/26/2024","WATER MAIN BREAK","140 GREENRIDGE RD","140 GREENRIDGE RD, baltimore"
"212","1301331","1/26/2024","WATER MAIN BREAK","100 GREENRIDGE CT","100 GREENRIDGE CT, baltimore"
"213","1301341","1/26/2024","WATER MAIN BREAK","107 GREENRIDGE CT","107 GREENRIDGE CT, baltimore"
"214","1301466","1/26/2024","WATER MAIN BREAK","4200 SHELDON AVE","4200 SHELDON AVE, baltimore"
"215","1301703","1/26/2024","WATER MAIN BREAK","1932 WEST BALTIMORE ST","1932 WEST BALTIMORE ST, baltimore"
"216","1301721","1/26/2024","WATER MAIN BREAK","1200 RANKIN PL","1200 RANKIN PL, baltimore"
"217","1302036","1/26/2024","WATER MAIN BREAK","3000 TOWANDA AVE","3000 TOWANDA AVE, baltimore"
"218","1302766","1/26/2024","WATER MAIN BREAK","SAINT AUGUSTINE LN AND SAINT MONICA DR","SAINT AUGUSTINE LN AND SAINT MONICA DR, baltimore"
"219","1302835","1/26/2024","WATER JOINT LEAK","2509 HUNTINGDON AVE","2509 HUNTINGDON AVE, baltimore"
"220","1302970","1/26/2024","WATER MAIN BREAK","8112 LINDEN AVE","8112 LINDEN AVE, baltimore"
"221","1303765","1/26/2024","WATER MAIN BREAK","6 SMITH LN","6 SMITH LN, baltimore"
"222","1304157","1/26/2024","WATER MAIN BREAK","1846 SUTTON AVE","1846 SUTTON AVE, baltimore"
"223","1304360","1/26/2024","WATER MAIN BREAK","13 BANGERT AVE","13 BANGERT AVE, baltimore"
"224","1304368","1/26/2024","WATER MAIN BREAK","7902 SUBET RD","7902 SUBET RD, baltimore"
"225","1304378","1/26/2024","WATER MAIN BREAK","4501 POPLAR AVE","4501 POPLAR AVE, baltimore"
"226","1304382","1/26/2024","WATER MAIN BREAK","3008 ROSELAWN AVE","3008 ROSELAWN AVE, baltimore"
"227","1304384","1/26/2024","WATER MAIN BREAK","700 BLK BATTERY AVE","700 BLK BATTERY AVE, baltimore"
"228","1304391","1/27/2024","WATER MAIN BREAK","5201 MORAVIA RD","5201 MORAVIA RD, baltimore"
"229","1304398","1/27/2024","WATER MAIN BREAK","1427 EAST EAGER ST","1427 EAST EAGER ST, baltimore"
"230","1304399","1/27/2024","WATER MAIN BREAK","807 BROOKS LN","807 BROOKS LN, baltimore"
"231","1304417","1/27/2024","WATER MAIN BREAK","2402 WEST FAYETTE ST","2402 WEST FAYETTE ST, baltimore"
"232","1304438","1/27/2024","WATER MAIN BREAK","1020 TRICKLING BROOK RD","1020 TRICKLING BROOK RD, baltimore"
"233","1304439","1/27/2024","WATER MAIN BREAK","662 FOLCROFT ST","662 FOLCROFT ST, baltimore"
"234","1304473","1/27/2024","WATER MAIN BREAK","6211 PLYMOUTH RD","6211 PLYMOUTH RD, baltimore"
"235","1304488","1/27/2024","WATER MAIN BREAK","1453 KENT RD","1453 KENT RD, baltimore"
