"","location_name","street_address","city","region","postal_code","dln_visits_yoy","start","address"
"37","Jacobsville Park","Magothy Beach Rd","Lake Shore","MD","21122",-1.64222776889801,2024-01-01,"Magothy Beach Rd Lake Shore MD 21122"
"38","Holiday Inn","815 Elkridge Landing Rd","Linthicum Heights","MD","21090",-1.64124977588654,2024-02-01,"815 Elkridge Landing Rd Linthicum Heights MD 21090"
"39","Pasadena Motors","8027 Fort Smallwood Rd","Curtis Bay","MD","21226",-1.63042819499969,2024-07-01,"8027 Fort Smallwood Rd Curtis Bay MD 21226"
"40","All About Bait and Tackle Shop","7403 Baltimore Annapolis Blvd","Glen Burnie","MD","21061",-1.62596726417542,2024-02-01,"7403 Baltimore Annapolis Blvd Glen Burnie MD 21061"
"41","Green Haven Wharf","Green Dr","Pasadena","MD","21122",-1.57761144638062,2024-02-01,"Green Dr Pasadena MD 21122"
"42","Dr Michael Keramati Optometrist and Associates Glen Burnie","7931 Ritchie Hwy","Glen Burnie","MD","21061",-1.55334842205048,2024-01-01,"7931 Ritchie Hwy Glen Burnie MD 21061"
"43","J & J Auto & Truck Repair","4701 Belle Grove Rd","Brooklyn","MD","21225",-1.53797900676727,2024-06-01,"4701 Belle Grove Rd Brooklyn MD 21225"
"44","Immanuel United Methodist Church","506 Annabel Ave","Baltimore","MD","21225",-1.52242648601532,2024-04-01,"506 Annabel Ave Baltimore MD 21225"
"45","Steven Shaffer","4701 Belle Grove Rd Ste O","Baltimore","MD","21225",-1.49251651763916,2024-01-01,"4701 Belle Grove Rd Ste O Baltimore MD 21225"
"46","Shell Oil","303 Mountain Rd","Pasadena","MD","21122",-1.47877323627472,2024-01-01,"303 Mountain Rd Pasadena MD 21122"
"47","Shell Oil","463 N Camp Meade Rd","Linthicum Heights","MD","21090",-1.46159207820892,2024-01-01,"463 N Camp Meade Rd Linthicum Heights MD 21090"
"48","T&S Nails","8043 Ritchie Hwy Ste A","Pasadena","MD","21122",-1.45001018047333,2024-05-01,"8043 Ritchie Hwy Ste A Pasadena MD 21122"
"49","Adrian Steel Maryland","7600 Energy Pkwy","Baltimore","MD","21226",-1.43508458137512,2024-02-01,"7600 Energy Pkwy Baltimore MD 21226"
"50","Linthicum Seventh Day Adventist Church","901 Andover Rd","Linthicum Heights","MD","21090",-1.42019593715668,2024-04-01,"901 Andover Rd Linthicum Heights MD 21090"
"51","H and H Truck Repair","6975 Baltimore Annapolis Blvd","Baltimore","MD","21225",-1.41226983070374,2024-06-01,"6975 Baltimore Annapolis Blvd Baltimore MD 21225"
"52","Hardee's","4111 Mountain Rd","Pasadena","MD","21122",-1.40893685817719,2024-03-01,"4111 Mountain Rd Pasadena MD 21122"
"53","All Around Fence and Decks LLC","3941 Mountain Rd","Pasadena","MD","21122",-1.40793359279633,2024-03-01,"3941 Mountain Rd Pasadena MD 21122"
"54","Sullivan Park","Dover Rd","Glen Burnie","MD","21060",-1.38096106052399,2024-01-01,"Dover Rd Glen Burnie MD 21060"
"55","Hot Wok Chinese Restaurant","452 N Camp Meade Rd","Linthicum Heights","MD","21090",-1.37486565113068,2024-01-01,"452 N Camp Meade Rd Linthicum Heights MD 21090"
"56","BP","6830 Baltimore Annapolis Blvd","Linthicum Heights","MD","21090",-1.37123584747314,2024-04-01,"6830 Baltimore Annapolis Blvd Linthicum Heights MD 21090"
"57","Dawsons Auto & Cycle","7620 Baltimore Annapolis Blvd","Glen Burnie","MD","21060",-1.36478817462921,2024-05-01,"7620 Baltimore Annapolis Blvd Glen Burnie MD 21060"
"58","Shell Oil","724 Nursery Rd","Linthicum Heights","MD","21090",-1.36191701889038,2024-05-01,"724 Nursery Rd Linthicum Heights MD 21090"
"59","Chesapeake BBQ","7300 Fort Smallwood Rd","Baltimore","MD","21226",-1.34474539756775,2024-06-01,"7300 Fort Smallwood Rd Baltimore MD 21226"
"60","Pizza City","2330 Mountain Rd","Pasadena","MD","21122",-1.29435682296753,2024-07-01,"2330 Mountain Rd Pasadena MD 21122"
"61","Village Styling & Tanning Salon","3006 Mountain Rd","Pasadena","MD","21122",-1.25276291370392,2024-04-01,"3006 Mountain Rd Pasadena MD 21122"
"62","Bnb Transmissions & Automotive","4701 Belle Grove Rd Ste C","Baltimore","MD","21225",-1.25276291370392,2024-05-01,"4701 Belle Grove Rd Ste C Baltimore MD 21225"
"63","St Johns Lutheran Church","224 Washburn Ave","Baltimore","MD","21225",-1.25276291370392,2024-07-01,"224 Washburn Ave Baltimore MD 21225"
"64","Taste International","4314 Curtis Ave","Baltimore","MD","21226",-1.2360121011734,2024-01-01,"4314 Curtis Ave Baltimore MD 21226"
"65","Mount Carmel Cemetery","Mount Carmel Cemetery","Pasadena","MD","21122",-1.23474442958832,2024-03-01,"Mount Carmel Cemetery Pasadena MD 21122"
"66","Mikes Crab House North","1402 Colony Rd","Pasadena","MD","21122",-1.2329603433609,2024-04-01,"1402 Colony Rd Pasadena MD 21122"
"67","Xtreme Cutz","7612 Baltimore Annapolis Blvd","Glen Burnie","MD","21060",-1.23214364051819,2024-02-01,"7612 Baltimore Annapolis Blvd Glen Burnie MD 21060"
"68","Hutchinson Eileen M Lwyr","5829 Ritchie Hwy","Brooklyn","MD","21225",-1.20397281646729,2024-06-01,"5829 Ritchie Hwy Brooklyn MD 21225"
"69","410 Smoke Shop","2529 Mountain Rd","Pasadena","MD","21122",-1.13943433761597,2024-07-01,"2529 Mountain Rd Pasadena MD 21122"
"70","Vinzini's Pizza & Subs","4100 Mountain Rd","Pasadena","MD","21122",-1.13822138309479,2024-03-01,"4100 Mountain Rd Pasadena MD 21122"
"71","Snowball Dave's Ice Shack","2616 Mountain Rd","Pasadena","MD","21122",-1.13309848308563,2024-04-01,"2616 Mountain Rd Pasadena MD 21122"
"72","Royal Farm Stores","308 S Camp Meade Rd","Linthicum Heights","MD","21090",-1.11300098896027,2024-01-01,"308 S Camp Meade Rd Linthicum Heights MD 21090"
"73","Baymeadows Park Tennis Court","Waterview Ct","Glen Burnie","MD","21060",-1.0986123085022,2024-04-01,"Waterview Ct Glen Burnie MD 21060"
"74","Brooklyn United Methodist Church","401 Pontiac Ave","Brooklyn","MD","21225",-1.0986123085022,2024-06-01,"401 Pontiac Ave Brooklyn MD 21225"
"75","Giant Food","7940 Crain Hwy S # 97","Glen Burnie","MD","21061",-1.085165143013,2024-02-01,"7940 Crain Hwy S # 97 Glen Burnie MD 21061"
"76","Colony Motel","107 Georgia Ave NE","Glen Burnie","MD","21060",-1.07992017269135,2024-06-01,"107 Georgia Ave NE Glen Burnie MD 21060"
"77","Superior Auto Motive","4701 Belle Grove Rd","Brooklyn","MD","21225",-1.07880961894989,2024-02-01,"4701 Belle Grove Rd Brooklyn MD 21225"
"78","Gold's Gym","6324 Ritchie Hwy","Glen Burnie","MD","21061",-1.07682156562805,2024-01-01,"6324 Ritchie Hwy Glen Burnie MD 21061"
"79","Linthicum Baptist Church","611 S Camp Meade Rd","Linthicum","MD","21090",-1.06784057617188,2024-06-01,"611 S Camp Meade Rd Linthicum MD 21090"
"80","K & R Motors","5619 Belle Grove Rd","Brooklyn","MD","21225",-1.05999743938446,2024-07-01,"5619 Belle Grove Rd Brooklyn MD 21225"
"81","Baltimore Ski Warehouse","7038 Aviation Blvd","Glen Burnie","MD","21061",-1.05314993858337,2024-07-01,"7038 Aviation Blvd Glen Burnie MD 21061"
"82","The Home Depot","66 Mountain Rd","Glen Burnie","MD","21060",-1.02395856380463,2024-01-01,"66 Mountain Rd Glen Burnie MD 21060"
"83","El Sombrero","529 S Camp Meade Rd","Linthicum Heights","MD","21090",-1.01807343959808,2024-04-01,"529 S Camp Meade Rd Linthicum Heights MD 21090"
"84","Five Below","6714 Ritchie Hwy Ste A2","Glen Burnie","MD","21061",-1.01319456100464,2024-02-01,"6714 Ritchie Hwy Ste A2 Glen Burnie MD 21061"
"85","Fairview Marina","1575 Fairview Beach Rd","Pasadena","MD","21122",-1.00866401195526,2024-06-01,"1575 Fairview Beach Rd Pasadena MD 21122"
"86","Popeyes Louisiana Kitchen","5317 Governor Ritchie Hwy","Brooklyn Park","MD","21225",-0.991798281669617,2024-02-01,"5317 Governor Ritchie Hwy Brooklyn Park MD 21225"
"87","The Crab Depot","5717 Ritchie Hwy","Brooklyn","MD","21225",-0.988611400127411,2024-03-01,"5717 Ritchie Hwy Brooklyn MD 21225"
"88","7-Eleven","7243 E Furnace Br Rd","Glen Burnie","MD","21060",-0.980425298213959,2024-01-01,"7243 E Furnace Br Rd Glen Burnie MD 21060"
"89","Bay Valet","4736A Mountain Rd","Pasadena","MD","21122",-0.97650957107544,2024-05-01,"4736A Mountain Rd Pasadena MD 21122"
"90","410 Smoke Shop","2529 Mountain Rd","Pasadena","MD","21122",-0.947381317615509,2024-01-01,"2529 Mountain Rd Pasadena MD 21122"
"91","CRW Flags","7306 E Furnace Branch Rd","Glen Burnie","MD","21060",-0.93826961517334,2024-01-01,"7306 E Furnace Branch Rd Glen Burnie MD 21060"
"92","American","5500 Ritchie Hwy","Brooklyn Park","MD","21225",-0.936093330383301,2024-07-01,"5500 Ritchie Hwy Brooklyn Park MD 21225"
"93","Kim & Sons","8150 Ritchie Hwy","Pasadena","MD","21122",-0.922155857086182,2024-02-01,"8150 Ritchie Hwy Pasadena MD 21122"
"94","Windshield Repair","215 Thelma Ave","Glen Burnie","MD","21061",-0.916290760040283,2024-04-01,"215 Thelma Ave Glen Burnie MD 21061"
"95","Village Tattoo","5000A Ritchie Hwy","Brooklyn Park","MD","21225",-0.916290760040283,2024-05-01,"5000A Ritchie Hwy Brooklyn Park MD 21225"
"96","Country Club Estate Recreation","1 Paul Marr Dr","Glen Burnie","MD","21060",-0.909818232059479,2024-07-01,"1 Paul Marr Dr Glen Burnie MD 21060"
"97","Just Wright Auto","6309 Fort Smallwood Rd","Curtis Bay","MD","21226",-0.899483621120453,2024-03-01,"6309 Fort Smallwood Rd Curtis Bay MD 21226"
"98","Village Barber Shop","3006 Mountain Rd","Pasadena","MD","21122",-0.896746158599854,2024-02-01,"3006 Mountain Rd Pasadena MD 21122"
"99","The Cowboy","8039 Ritchie Hwy Ste D","Pasadena","MD","21122",-0.891496062278748,2024-06-01,"8039 Ritchie Hwy Ste D Pasadena MD 21122"
"100","Manna Deli","945 E Patapsco Ave","Brooklyn","MD","21225",-0.886768281459808,2024-03-01,"945 E Patapsco Ave Brooklyn MD 21225"
